,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.78807947 0.78807947 0.79069767 0.78666667 0.78666667],0.7880379896298578,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.0018923409197929956,0.0014723055246395613,0.0007361527623197807
21,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84120172 0.79324895 0.84518828 0.8        0.79338843],0.8146054752313543,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.030209819565821194,0.023504265949070294,0.011752132974535145
20,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84761905 0.83412322 0.83253589 0.82524272 0.82464455],0.8328330847489924,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.010677097363512422,0.008307144484902568,0.004153572242451283
19,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21)",[0.84210526 0.8436019  0.83809524 0.83412322 0.8317757 ],0.837940264134225,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.005805104346293345,0.004516568399890528,0.002258284199945264
18,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21)",[0.8490566 0.8436019 0.8436019 0.8411215 0.8372093],0.8429182385790925,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.004959109454035764,0.003858355632487105,0.0019291778162435526
17,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21)",[0.8436019 0.8436019 0.8436019 0.8490566 0.8372093],0.8434143186605916,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'page', 'resource', 'url')",0.004824317315163691,0.003753482769112653,0.0018767413845563266
16,"(1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21)",[0.8490566  0.8436019  0.83962264 0.84507042 0.8372093 ],0.8429121731756816,"('gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'page', 'resource', 'url')",0.005337642790826534,0.004152867428531903,0.002076433714265951
15,"(1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 21)",[0.8490566  0.8436019  0.83962264 0.84507042 0.8372093 ],0.8429121731756816,"('gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'resource', 'url')",0.005337642790826534,0.004152867428531903,0.002076433714265951
14,"(1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 19, 21)",[0.8490566  0.8436019  0.84507042 0.8411215  0.8372093 ],0.8432119439392155,"('gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'resource', 'url')",0.005081947823821059,0.003953928057403219,0.00197696402870161
13,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 15, 21)",[0.85308057 0.8436019  0.83962264 0.83962264 0.8411215 ],0.8434098485601893,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'url')",0.006489946530938788,0.005049398885884569,0.0025246994429422845
12,"(1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 21)",[0.85308057 0.8436019  0.83962264 0.83962264 0.8411215 ],0.8434098485601893,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'url')",0.006489946530938788,0.005049398885884569,0.0025246994429422845
11,"(1, 3, 4, 5, 6, 10, 11, 12, 14, 15, 21)",[0.85308057 0.8436019  0.84507042 0.83962264 0.8411215 ],0.8444994047653449,"('gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'url')",0.006027481374085988,0.004689585282391727,0.0023447926411958634
10,"(1, 3, 4, 6, 10, 11, 12, 14, 15, 21)",[0.85308057 0.8436019  0.84507042 0.84507042 0.8411215 ],0.8455889609705002,"('gender', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'url')",0.005159402644307409,0.004014190539136423,0.0020070952695682115
9,"(1, 4, 10, 11, 12, 14, 15, 16, 21)",[0.85308057 0.8436019  0.8411215  0.84507042 0.8411215 ],0.8447991755288786,"('gender', 'imd_band', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'url')",0.0056651795193284156,0.004407702130805551,0.002203851065402775
8,"(1, 2, 4, 10, 11, 15, 16, 21)",[0.85446009 0.85308057 0.84792627 0.85446009 0.83870968],0.8497273402428533,"('gender', 'region', 'imd_band', 'total_score', 'externalquiz', 'oucontent', 'ouelluminate', 'url')",0.007726187512973902,0.006011236369077208,0.0030056181845386034
7,"(1, 2, 4, 10, 11, 15, 21)",[0.85446009 0.85308057 0.84792627 0.85308057 0.83870968],0.8494514352075864,"('gender', 'region', 'imd_band', 'total_score', 'externalquiz', 'oucontent', 'url')",0.007475475169914316,0.005816173648654537,0.0029080868243272686
6,"(2, 10, 11, 15, 16, 21)",[0.85446009 0.85308057 0.85185185 0.85308057 0.83870968],0.8502365521217357,"('region', 'total_score', 'externalquiz', 'oucontent', 'ouelluminate', 'url')",0.007483289999803112,0.005822253851803477,0.0029111269259017385
5,"(2, 4, 10, 11, 21)",[0.85714286 0.85308057 0.8372093  0.85446009 0.83870968],0.848120499900977,"('region', 'imd_band', 'total_score', 'externalquiz', 'url')",0.010811939891548203,0.008412056552758269,0.0042060282763791345
4,"(1, 4, 10, 21)",[0.86111111 0.8490566  0.83870968 0.85581395 0.83870968],0.8486802046423556,"('gender', 'imd_band', 'total_score', 'url')",0.011558793672248687,0.008993134167220864,0.004496567083610432
3,"(4, 10, 21)",[0.85046729 0.8490566  0.83870968 0.85581395 0.83870968],0.8465514403640586,"('imd_band', 'total_score', 'url')",0.008724661571774409,0.0067880831082694675,0.0033940415541347337
2,"(10, 21)",[0.84651163 0.8490566  0.84259259 0.85046729 0.83870968],0.845467558282427,"('total_score', 'url')",0.005540275533473796,0.004310522586411734,0.002155261293205867
1,"(10,)",[0.83653846 0.8436019  0.83018868 0.83568075 0.84792627],0.8387872109946313,"('total_score',)",0.008033741784501572,0.006250524040955178,0.003125262020477589
