,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84255319 0.84615385 0.83898305 0.82352941 0.80497925],0.831239750673481,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.019572292132855842,0.015227908214453939,0.0076139541072269695
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84166667 0.84615385 0.84978541 0.82905983 0.825     ],0.8383331499211328,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.012424146159422734,0.00966640780111042,0.00483320390055521
20,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21)",[0.83265306 0.84033613 0.83817427 0.83898305 0.8185654 ],0.8337423842457063,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.010316190790709846,0.008026346910079692,0.004013173455039845
19,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21)",[0.86178862 0.84033613 0.84297521 0.85106383 0.82700422],0.8446336016296094,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'resource', 'subpage', 'url')",0.014852269648815739,0.011555570367193638,0.005777785183596818
18,"(0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21)",[0.84897959 0.83760684 0.83127572 0.83544304 0.82553191],0.8357674204952963,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'resource', 'subpage', 'url')",0.010005328932418692,0.0077844858233301365,0.0038922429116650683
17,"(0, 2, 3, 4, 5, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21)",[0.84518828 0.84978541 0.81355932 0.84255319 0.848     ],0.8398172411534821,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_score', 'externalquiz', 'forumng', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.017168463031673232,0.013357647507758627,0.006678823753879313
16,"(0, 2, 3, 4, 5, 6, 7, 10, 11, 12, 15, 16, 17, 19, 20, 21)",[0.83534137 0.88034188 0.82352941 0.84166667 0.82730924],0.8416377122365782,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_score', 'externalquiz', 'forumng', 'oucontent', 'ouelluminate', 'ouwiki', 'resource', 'subpage', 'url')",0.0261573166967962,0.020351281040127005,0.010175640520063502
15,"(0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 16, 17, 19, 20, 21)",[0.85355649 0.87763713 0.8220339  0.8362069  0.82113821],0.8421145244792518,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'total_score', 'externalquiz', 'forumng', 'ouelluminate', 'ouwiki', 'resource', 'subpage', 'url')",0.027391544915005926,0.021311552524683287,0.010655776262341644
14,"(0, 2, 3, 4, 5, 6, 7, 10, 11, 12, 16, 19, 20, 21)",[0.83950617 0.85106383 0.81512605 0.86075949 0.84897959],0.8430870277109059,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_score', 'externalquiz', 'forumng', 'ouelluminate', 'resource', 'subpage', 'url')",0.019955618266754457,0.015526148969475708,0.007763074484737854
13,"(0, 2, 3, 5, 6, 7, 10, 11, 12, 16, 19, 20, 21)",[0.82352941 0.85232068 0.83193277 0.85714286 0.8487395 ],0.8427330425841223,"('id_student', 'region', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_score', 'externalquiz', 'forumng', 'ouelluminate', 'resource', 'subpage', 'url')",0.01647047219939826,0.012814586927206037,0.006407293463603018
12,"(0, 2, 5, 6, 7, 10, 11, 12, 16, 19, 20, 21)",[0.82157676 0.86075949 0.83471074 0.83478261 0.8559322 ],0.8415523626086998,"('id_student', 'region', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_score', 'externalquiz', 'forumng', 'ouelluminate', 'resource', 'subpage', 'url')",0.018778936755727636,0.01461065077815851,0.007305325389079255
11,"(0, 2, 5, 7, 10, 11, 12, 16, 19, 20, 21)",[0.83682008 0.85714286 0.83050847 0.86580087 0.85833333],0.8497211229070671,"('id_student', 'region', 'age_band', 'studied_credits', 'total_score', 'externalquiz', 'forumng', 'ouelluminate', 'resource', 'subpage', 'url')",0.017466466199996086,0.013589504096860883,0.0067947520484304405
10,"(0, 2, 5, 10, 11, 12, 16, 18, 20, 21)",[0.83544304 0.8442623  0.84552846 0.84745763 0.85596708],0.8457316987298296,"('id_student', 'region', 'age_band', 'total_score', 'externalquiz', 'forumng', 'ouelluminate', 'page', 'subpage', 'url')",0.008443858873178627,0.006569609068971362,0.003284804534485681
9,"(0, 2, 5, 10, 11, 12, 16, 20, 21)",[0.83817427 0.86666667 0.83127572 0.83898305 0.85355649],0.8457312393786607,"('id_student', 'region', 'age_band', 'total_score', 'externalquiz', 'forumng', 'ouelluminate', 'subpage', 'url')",0.016370534047720053,0.012736831649972911,0.006368415824986455
