,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.78807947 0.78807947 0.79069767 0.         0.112     ],0.49577132296319115,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.46375294463192246,0.3608155461353837,0.18040777306769185
21,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.8245614  0.85344828 0.8220339  0.79       0.85714286],0.8294372869637566,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.031367472659548784,0.024404959385270816,0.012202479692635406
20,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.82352941 0.86842105 0.86222222 0.86343612 0.83817427],0.8511566167650892,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.022284871471504927,0.01733838709515851,0.008669193547579253
19,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21)",[0.84978541 0.85106383 0.8487395  0.83982684 0.86725664],0.8513344420611715,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.011426051068912925,0.00888985591212312,0.00444492795606156
18,"(1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21)",[0.84388186 0.87966805 0.84388186 0.85321101 0.84955752],0.8540400588341811,"('gender', 'region', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.017089561036625716,0.013296259075051558,0.006648129537525779
17,"(1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20)",[0.84897959 0.86098655 0.85217391 0.83700441 0.85957447],0.851743785067373,"('gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage')",0.01108369990875384,0.008623495078725237,0.004311747539362617
16,"(1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20)",[0.84070796 0.8558952  0.86324786 0.83333333 0.8559322 ],0.8498233122158695,"('gender', 'region', 'highest_education', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage')",0.014189680034136863,0.011040053136626524,0.005520026568313262
15,"(1, 2, 3, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 20)",[0.85470085 0.85714286 0.85833333 0.84931507 0.85714286],0.8553269941626105,"('gender', 'region', 'highest_education', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage')",0.0041516326300483995,0.003230111230783287,0.0016150556153916435
14,"(1, 2, 3, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 20)",[0.83333333 0.85714286 0.86462882 0.84581498 0.86580087],0.8533441710422647,"('gender', 'region', 'highest_education', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'homepage', 'oucontent', 'ouwiki', 'page', 'subpage')",0.01578413607877759,0.012280594108269352,0.006140297054134676
13,"(1, 2, 3, 6, 7, 8, 10, 11, 13, 15, 17, 18, 20)",[0.85964912 0.83898305 0.86206897 0.84821429 0.86419753],0.85462259115004,"('gender', 'region', 'highest_education', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouwiki', 'page', 'subpage')",0.012301994443858308,0.009571369616506042,0.004785684808253021
