,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.80582524 0.7804878  0.8097561  0.75621891 0.76923077],0.7843037639721754,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.026599693003070423,0.02069546483538543,0.010347732417692717
21,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.82296651 0.78873239 0.8115942  0.80382775 0.77511962],0.8004480945725667,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.021671743782620163,0.0168613529232434,0.0084306764616217
20,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21)",[0.82464455 0.78672986 0.81904762 0.81132075 0.79245283],0.8068391223072435,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.01904238710807408,0.014815624102558394,0.007407812051279197
19,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21)",[0.82464455 0.78672986 0.81904762 0.81516588 0.80188679],0.8094949391721278,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.01752013946093296,0.013631263717326854,0.006815631858663426
18,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 20, 21)",[0.82464455 0.78672986 0.82857143 0.81516588 0.79812207],0.8106467557318636,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'page', 'subpage', 'url')",0.02045624751041172,0.01591565552906189,0.007957827764530944
17,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 18, 20, 21)",[0.83018868 0.79425837 0.82857143 0.82075472 0.7962963 ],0.8140138988599764,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'page', 'subpage', 'url')",0.020103018724275466,0.015640831533105057,0.007820415766552529
16,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 18, 20, 21)",[0.82464455 0.8        0.82296651 0.82464455 0.80555556],0.815562232451731,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'homepage', 'oucontent', 'page', 'subpage', 'url')",0.013627925982701497,0.010602989399978363,0.0053014946999891815
15,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 18, 20, 21)",[0.81904762 0.8056872  0.82857143 0.82464455 0.80184332],0.8159588238291802,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'oucontent', 'page', 'subpage', 'url')",0.013465702547023188,0.01047677405575735,0.005238387027878674
14,"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 18, 20, 21)",[0.82464455 0.8056872  0.83412322 0.82464455 0.80184332],0.8181885688077403,"('region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'oucontent', 'page', 'subpage', 'url')",0.015853675890464675,0.012334698444257863,0.0061673492221289315
13,"(2, 3, 5, 6, 7, 8, 9, 10, 11, 15, 18, 20, 21)",[0.82464455 0.8056872  0.83412322 0.82464455 0.80184332],0.8181885688077403,"('region', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'oucontent', 'page', 'subpage', 'url')",0.015853675890464675,0.012334698444257863,0.0061673492221289315
12,"(2, 3, 5, 6, 7, 8, 10, 11, 15, 18, 20, 21)",[0.82857143 0.80373832 0.83018868 0.82464455 0.8       ],0.8174285950673509,"('region', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'oucontent', 'page', 'subpage', 'url')",0.016562130380900014,0.01288590010634408,0.00644295005317204
11,"(2, 3, 6, 7, 8, 10, 11, 15, 18, 20, 21)",[0.83412322 0.80373832 0.83018868 0.82464455 0.8       ],0.8185389539028283,"('region', 'highest_education', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'oucontent', 'page', 'subpage', 'url')",0.0179813575614601,0.013990107068631729,0.006995053534315865
10,"(2, 3, 7, 8, 10, 11, 15, 18, 20, 21)",[0.83412322 0.80373832 0.83018868 0.82464455 0.8       ],0.8185389539028283,"('region', 'highest_education', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'oucontent', 'page', 'subpage', 'url')",0.0179813575614601,0.013990107068631729,0.006995053534315865
9,"(2, 3, 7, 8, 10, 11, 15, 18, 20)",[0.84507042 0.81308411 0.81904762 0.82242991 0.79262673],0.8184517576770036,"('region', 'highest_education', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'oucontent', 'page', 'subpage')",0.02166375140300878,0.01685513458037834,0.00842756729018917
8,"(2, 3, 7, 8, 10, 11, 15, 18)",[0.84507042 0.82629108 0.80751174 0.83333333 0.81447964],0.8253372421558005,"('region', 'highest_education', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'oucontent', 'page')",0.017146781757855445,0.013340778740144254,0.006670389370072127
