,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.82304527 0.84120172 0.81666667 0.82051282 0.81327801],0.8229408959412303,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.012489184094547872,0.009717009524190195,0.004858504762095097
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84166667 0.85       0.85355649 0.81012658 0.82352941],0.8357758292131002,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.021205659137974796,0.016498723235282044,0.008249361617641022
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21)",[0.81702128 0.8487395  0.84388186 0.82553191 0.82987552],0.8330100124999928,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.015065893838764376,0.011721777244489529,0.005860888622244764
19,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 20, 21)",[0.82700422 0.85957447 0.81385281 0.83404255 0.83193277],0.8332813655295871,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.01915554856559595,0.01490366756097705,0.007451833780488525
18,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 20, 21)",[0.84033613 0.8487395  0.82969432 0.8362069  0.83050847],0.8370970649048403,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.008997775925567499,0.007000575354112736,0.0035002876770563684
17,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 20, 21)",[0.83682008 0.86192469 0.82608696 0.84120172 0.83898305],0.8410032987963743,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.015009003919598547,0.011677514954640979,0.0058387574773204895
16,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 14, 16, 17, 18, 20, 21)",[0.81818182 0.87179487 0.82905983 0.84482759 0.8220339 ],0.8371796007097002,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'homepage', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.025140155054087895,0.01955989472577583,0.009779947362887915
15,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 16, 17, 18, 20, 21)",[0.83544304 0.85950413 0.82051282 0.84120172 0.84166667],0.8396656748247546,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.016100445652931027,0.012526693703036575,0.006263346851518288
14,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 16, 18, 20, 21)",[0.82700422 0.88709677 0.83261803 0.83050847 0.85477178],0.8463998556325081,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'ouelluminate', 'page', 'subpage', 'url')",0.02899745008912839,0.022561001308027465,0.011280500654013733
13,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 18, 20, 21)",[0.85833333 0.86192469 0.83404255 0.83261803 0.85123967],0.8476316535779704,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'page', 'subpage', 'url')",0.015656375307906988,0.012181191888078724,0.006090595944039362
