,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.78807947 0.78807947 0.79069767 0.18181818 0.78666667],0.6670682926601608,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.3118482765910065,0.24262855369871197,0.12131427684935599
21,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.83817427 0.85585586 0.84081633 0.83127572 0.81818182],0.8368607989183634,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.01582820010656521,0.012314877418887971,0.006157438709443985
20,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21)",[0.85833333 0.88       0.84070796 0.84545455 0.83544304],0.8519877762728665,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'resource', 'subpage', 'url')",0.020472843804223574,0.01592856800947816,0.00796428400473908
19,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21)",[0.83471074 0.85957447 0.86324786 0.84552846 0.84018265],0.8486488357642005,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'subpage', 'url')",0.014175361083984718,0.011028912506946358,0.005514456253473178
18,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21)",[0.87323944 0.856      0.82790698 0.8440367  0.84716157],0.8496689365328024,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'url')",0.01912660351318938,0.014881147326846174,0.007440573663423087
17,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 21)",[0.84677419 0.86995516 0.83064516 0.8440367  0.85844749],0.8499717395243126,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'url')",0.017149277443601268,0.013342720468441153,0.006671360234220576
16,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21)",[0.87336245 0.86462882 0.84848485 0.85844749 0.85106383],0.8591974866464207,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'url')",0.011661845278477339,0.009073311817868518,0.004536655908934259
15,"(1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21)",[0.87111111 0.85067873 0.84978541 0.85585586 0.85087719],0.8556616601412838,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'url')",0.01029796833801339,0.008012169222805237,0.004006084611402619
14,"(1, 2, 3, 4, 5, 7, 8, 10, 13, 14, 15, 16, 17, 21)",[0.86607143 0.85344828 0.86324786 0.86995516 0.82553191],0.8556509279051301,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_score', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'url')",0.02058808063949737,0.016018226182295214,0.008009113091147607
13,"(1, 2, 3, 5, 7, 8, 10, 13, 14, 15, 16, 17, 21)",[0.85217391 0.8677686  0.86486486 0.84304933 0.86363636],0.8582986127880579,"('gender', 'region', 'highest_education', 'age_band', 'studied_credits', 'disability', 'total_score', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'url')",0.011937861584439182,0.00928806188108793,0.004644030940543965
12,"(1, 2, 3, 5, 7, 8, 10, 13, 14, 16, 17, 21)",[0.83842795 0.84978541 0.86842105 0.8372093  0.86919831],0.8526084045034044,"('gender', 'region', 'highest_education', 'age_band', 'studied_credits', 'disability', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'ouwiki', 'url')",0.017915423830864523,0.013938808386242837,0.006969404193121418
11,"(1, 2, 3, 5, 7, 8, 10, 13, 16, 17, 21)",[0.84482759 0.84792627 0.84848485 0.85840708 0.87826087],0.8555813302368172,"('gender', 'region', 'highest_education', 'age_band', 'studied_credits', 'disability', 'total_score', 'glossary', 'ouelluminate', 'ouwiki', 'url')",0.015709488075394188,0.012222515425599044,0.006111257712799522
10,"(1, 2, 3, 5, 7, 8, 10, 16, 17, 21)",[0.83842795 0.85581395 0.86222222 0.84651163 0.88105727],0.8568066039876582,"('gender', 'region', 'highest_education', 'age_band', 'studied_credits', 'disability', 'total_score', 'ouelluminate', 'ouwiki', 'url')",0.018733268875992172,0.014575119616236346,0.007287559808118173
9,"(1, 2, 3, 5, 7, 10, 16, 17, 21)",[0.84120172 0.86098655 0.84304933 0.83870968 0.88311688],0.8534128303427794,"('gender', 'region', 'highest_education', 'age_band', 'studied_credits', 'total_score', 'ouelluminate', 'ouwiki', 'url')",0.021601975368272974,0.016807070726618942,0.008403535363309471
8,"(1, 2, 3, 5, 7, 10, 17, 21)",[0.85201794 0.85067873 0.84955752 0.84162896 0.86842105],0.8524608408565791,"('gender', 'region', 'highest_education', 'age_band', 'studied_credits', 'total_score', 'ouwiki', 'url')",0.011261662258407405,0.008761955832721635,0.004380977916360817
7,"(2, 3, 5, 7, 10, 17, 21)",[0.84716157 0.86725664 0.85714286 0.85046729 0.84545455],0.8534965803075144,"('region', 'highest_education', 'age_band', 'studied_credits', 'total_score', 'ouwiki', 'url')",0.010227843390245264,0.00795760963106668,0.00397880481553334
6,"(2, 3, 5, 7, 10, 21)",[0.84482759 0.84162896 0.84821429 0.85844749 0.84545455],0.8477145730472442,"('region', 'highest_education', 'age_band', 'studied_credits', 'total_score', 'url')",0.0074040410537409606,0.005760595479419959,0.002880297739709979
5,"(2, 5, 7, 10, 21)",[0.84848485 0.84581498 0.84347826 0.84507042 0.85714286],0.84799827340121,"('region', 'age_band', 'studied_credits', 'total_score', 'url')",0.006234118607200939,0.004850356069901124,0.0024251780349505616
4,"(2, 7, 10, 21)",[0.86919831 0.85454545 0.83982684 0.84716157 0.84018265],0.850182965412562,"('region', 'studied_credits', 'total_score', 'url')",0.014044404171163899,0.010927023579735014,0.005463511789867507
3,"(2, 10, 21)",[0.85344828 0.85201794 0.8362069  0.83928571 0.86086957],0.8483656778273261,"('region', 'total_score', 'url')",0.011860954036515374,0.009228225196001034,0.004614112598000516
2,"(2, 10)",[0.8583691  0.84821429 0.83257919 0.83870968 0.84070796],0.8437160423936438,"('region', 'total_score')",0.011396234065008367,0.008866657270103752,0.004433328635051876
1,"(10,)",[0.84615385 0.84444444 0.84444444 0.83185841 0.81938326],0.8372568804068552,"('total_score',)",0.013246455095291553,0.0103061920897536,0.0051530960448767996
