,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.85470085 0.85840708 0.83478261 0.85201794 0.84070796],0.848123288972805,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.011454960780253919,0.008912348649704326,0.004456174324852163
21,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.85087719 0.86607143 0.84033613 0.88105727 0.82969432],0.8536072695748477,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.023449167251121256,0.018244248766654342,0.009122124383327171
20,"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21)",[0.85470085 0.84070796 0.84978541 0.86462882 0.84716157],0.8513969240082094,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.010294981267822113,0.008009845180715833,0.004004922590357916
19,"(0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21)",[0.85106383 0.85714286 0.8362069  0.84347826 0.84955752],0.847489873295055,"('id_student', 'gender', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.009154069528556845,0.007122177087045833,0.003561088543522916
18,"(0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21)",[0.83842795 0.86725664 0.8362069  0.84955752 0.8583691 ],0.8499636204308917,"('id_student', 'gender', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.015122632756458117,0.011765922050062778,0.005882961025031388
17,"(0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21)",[0.85344828 0.84581498 0.84120172 0.85964912 0.85333333],0.8506894853428371,"('id_student', 'gender', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.008302910411808412,0.006459946377542846,0.003229973188771423
16,"(0, 1, 3, 4, 6, 7, 9, 10, 12, 15, 16, 17, 18, 19, 20, 21)",[0.85217391 0.85840708 0.83842795 0.86086957 0.85462555],0.8529008112331866,"('id_student', 'gender', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'forumng', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.010067806429640667,0.007833095438734759,0.003916547719367379
15,"(0, 1, 3, 4, 6, 7, 9, 10, 12, 15, 16, 17, 18, 19, 21)",[0.84615385 0.84545455 0.85087719 0.87826087 0.84848485],0.8538462605281827,"('id_student', 'gender', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'forumng', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.015879740493954998,0.012354977591273584,0.006177488795636791
14,"(0, 3, 4, 6, 7, 9, 10, 12, 15, 16, 17, 18, 19, 21)",[0.84848485 0.85840708 0.8362069  0.86222222 0.84955752],0.8509757138057413,"('id_student', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'forumng', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.0116109910750029,0.009033745519880971,0.0045168727599404854
13,"(0, 4, 6, 7, 9, 10, 12, 15, 16, 17, 18, 19, 21)",[0.85470085 0.86343612 0.84978541 0.86086957 0.84821429],0.8554012473411742,"('id_student', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'forumng', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.007671848729640464,0.005968958949576726,0.002984479474788363
12,"(0, 4, 6, 7, 9, 10, 12, 15, 17, 18, 19, 21)",[0.8583691  0.85087719 0.85106383 0.85462555 0.84955752],0.8528986388533646,"('id_student', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'forumng', 'oucontent', 'ouwiki', 'page', 'resource', 'url')",0.004125923352669303,0.0032101085395536987,0.0016050542697768494
11,"(0, 4, 6, 9, 10, 12, 15, 17, 18, 19, 21)",[0.8558952  0.87387387 0.84745763 0.84581498 0.84716157],0.8540406495050075,"('id_student', 'imd_band', 'num_of_prev_attempts', 'total_number_of_click', 'total_score', 'forumng', 'oucontent', 'ouwiki', 'page', 'resource', 'url')",0.01354279143913313,0.010536751832781917,0.0052683759163909575
10,"(0, 4, 6, 9, 10, 12, 17, 18, 19, 21)",[0.84848485 0.87111111 0.84347826 0.86206897 0.83982684],0.8529940051619211,"('id_student', 'imd_band', 'num_of_prev_attempts', 'total_number_of_click', 'total_score', 'forumng', 'ouwiki', 'page', 'resource', 'url')",0.015151618175148806,0.011788473690534073,0.005894236845267036
9,"(0, 4, 6, 10, 12, 17, 18, 19, 21)",[0.84347826 0.86222222 0.84482759 0.84955752 0.84482759],0.8489826355258948,"('id_student', 'imd_band', 'num_of_prev_attempts', 'total_score', 'forumng', 'ouwiki', 'page', 'resource', 'url')",0.008912992761361687,0.006934611171997869,0.0034673055859989347
8,"(0, 4, 6, 10, 12, 17, 18, 19)",[0.85217391 0.86956522 0.83760684 0.83842795 0.83261803],0.8460783882781893,"('id_student', 'imd_band', 'num_of_prev_attempts', 'total_score', 'forumng', 'ouwiki', 'page', 'resource')",0.017246519342872677,0.013418377969701233,0.0067091889848506165
7,"(4, 6, 10, 12, 17, 18, 19)",[0.84716157 0.86486486 0.8559322  0.86206897 0.84615385],0.8552362903956368,"('imd_band', 'num_of_prev_attempts', 'total_score', 'forumng', 'ouwiki', 'page', 'resource')",0.009747405333656534,0.0075838125009808095,0.0037919062504904043
6,"(4, 10, 12, 17, 18, 19)",[0.84482759 0.85714286 0.84615385 0.85333333 0.85106383],0.8505042905248335,"('imd_band', 'total_score', 'forumng', 'ouwiki', 'page', 'resource')",0.005848807301162891,0.004550570783512051,0.0022752853917560253
5,"(4, 10, 12, 17, 19)",[0.84347826 0.8558952  0.86695279 0.86206897 0.86440678],0.8585603984507889,"('imd_band', 'total_score', 'forumng', 'ouwiki', 'resource')",0.010776482172490548,0.008384469242716158,0.004192234621358079
