,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_number_of_click,total_score,externalquiz,forumng,glossary,homepage,oucontent,ouelluminate,ouwiki,page,resource,subpage,url,date_registration,date_unregistration
0,1,1,24213,0,0,2,4,0,0,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.0,-46.0
1,1,1,40419,1,1,1,2,1,0,60,0,0,144.0,7.04,1.0,13.0,0.0,9.0,4.0,3.0,2.0,1.0,3.0,14.0,10.0,-46.0,171.0
2,1,1,41060,1,2,3,7,0,0,60,0,1,411.0,63.595,14.0,11.0,0.0,33.0,34.0,2.0,5.0,0.0,22.0,87.0,6.0,-24.0,0.0
3,1,1,43284,1,1,1,8,0,2,180,0,0,847.0,40.2,28.0,68.0,0.0,91.0,47.0,22.0,9.0,2.0,32.0,87.0,36.0,-28.0,226.0
4,1,1,45664,1,3,3,6,0,1,60,0,1,1048.0,95.28,18.0,45.0,0.0,66.0,27.0,0.0,6.0,2.0,54.0,123.0,64.0,-31.0,0.0
5,1,1,52014,0,4,1,0,1,2,120,0,1,349.0,44.24,5.0,7.0,0.0,46.0,11.0,0.0,11.0,0.0,9.0,22.0,5.0,4.0,0.0
6,1,1,53488,0,0,3,9,0,0,60,0,1,1426.0,147.685,16.0,187.0,0.0,103.0,19.0,24.0,32.0,1.0,50.0,124.0,45.0,-25.0,0.0
7,1,1,53895,1,5,2,6,1,1,60,0,0,65.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,5.0,6.0,0.0,-20.0,27.0
8,1,1,55242,0,6,1,3,0,0,60,0,1,13.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,-52.0,0.0
9,1,1,57359,1,1,3,4,1,0,60,0,0,217.0,0.0,2.0,4.0,0.0,9.0,3.0,3.0,0.0,0.0,19.0,46.0,4.0,-45.0,4.0
10,1,1,60135,0,7,2,0,0,0,60,0,1,2750.0,83.25,37.0,149.0,4.0,114.0,39.0,4.0,29.0,2.0,92.0,338.0,83.0,-90.0,0.0
11,1,1,66579,1,8,1,4,1,0,60,0,1,681.0,20.83,4.0,50.0,0.0,38.0,9.0,2.0,11.0,1.0,29.0,64.0,37.0,-22.0,0.0
12,1,1,67602,1,2,1,3,0,1,60,0,1,797.0,93.425,26.0,51.0,0.0,69.0,31.0,6.0,4.0,0.0,69.0,101.0,31.0,-28.0,0.0
13,1,1,67785,0,9,1,2,0,0,120,1,1,1351.0,95.485,8.0,84.0,0.0,74.0,38.0,5.0,15.0,0.0,78.0,157.0,43.0,-24.0,0.0
14,1,1,69491,0,0,1,8,0,4,60,0,1,373.0,112.755,9.0,10.0,0.0,44.0,19.0,4.0,0.0,0.0,39.0,38.0,13.0,-29.0,0.0
15,1,1,72451,1,1,1,9,0,0,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-15.0
16,1,1,76536,0,7,1,6,0,1,120,0,1,18.0,10.285,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0
17,1,1,77763,1,0,3,2,1,0,150,0,1,1354.0,157.97,14.0,70.0,3.0,101.0,28.0,7.0,22.0,1.0,91.0,176.0,33.0,-37.0,0.0
18,1,1,81351,1,10,3,9,1,1,60,1,1,817.0,71.005,13.0,48.0,0.0,93.0,48.0,1.0,9.0,0.0,43.0,71.0,36.0,-12.0,0.0
19,1,1,86047,0,4,3,2,0,0,60,0,1,890.0,89.285,10.0,47.0,0.0,44.0,25.0,7.0,13.0,1.0,43.0,112.0,20.0,-60.0,0.0
20,1,1,87107,0,11,3,7,0,0,60,0,1,861.0,78.97,3.0,88.0,0.0,77.0,37.0,0.0,8.0,0.0,53.0,72.0,33.0,-22.0,0.0
21,1,1,89051,1,6,2,3,1,0,120,1,1,1163.0,154.095,21.0,66.0,0.0,109.0,44.0,1.0,15.0,0.0,43.0,125.0,48.0,-78.0,0.0
22,1,1,90836,1,7,2,5,0,0,180,1,1,205.0,0.0,5.0,2.0,0.0,23.0,13.0,0.0,3.0,0.0,19.0,27.0,16.0,-128.0,0.0
23,1,1,92775,0,5,1,0,0,1,60,1,1,10981.0,25.75,65.0,349.0,3.0,221.0,64.0,67.0,46.0,2.0,128.0,614.0,217.0,-225.0,0.0
24,1,1,94923,0,10,1,3,0,2,90,0,1,444.0,34.17,5.0,34.0,0.0,33.0,11.0,1.0,8.0,1.0,31.0,69.0,1.0,-55.0,0.0
25,1,1,94964,0,11,1,4,0,0,60,0,1,199.0,6.43,2.0,19.0,0.0,11.0,4.0,0.0,0.0,1.0,11.0,34.0,5.0,-24.0,0.0
26,1,1,95356,0,10,3,2,0,0,90,0,0,205.0,30.509999999999998,10.0,0.0,0.0,29.0,14.0,0.0,0.0,0.0,9.0,39.0,3.0,-110.0,203.0
27,1,1,96592,0,9,3,2,0,0,60,0,1,776.0,144.995,9.0,43.0,0.0,46.0,24.0,0.0,13.0,1.0,48.0,63.0,27.0,-68.0,0.0
28,1,1,96945,1,7,2,3,0,0,90,0,0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-31.0,11.0
29,1,1,103904,1,8,3,7,0,0,60,0,1,1579.0,162.5,21.0,142.0,0.0,97.0,10.0,4.0,10.0,1.0,74.0,146.0,31.0,-22.0,0.0
30,1,1,108565,1,11,2,2,0,0,60,0,0,203.0,1.26,3.0,9.0,0.0,9.0,3.0,1.0,0.0,1.0,7.0,27.0,24.0,-48.0,57.0
31,1,1,110200,0,9,1,7,0,0,90,0,1,157.0,16.22,4.0,5.0,0.0,21.0,12.0,0.0,0.0,0.0,6.0,24.0,8.0,-93.0,0.0
32,1,1,111113,1,5,1,3,0,0,60,0,1,367.0,6.56,5.0,54.0,0.0,43.0,8.0,12.0,8.0,0.0,8.0,32.0,13.0,-92.0,0.0
33,1,1,111360,1,7,3,3,0,2,120,0,0,386.0,7.624999999999999,13.0,0.0,0.0,35.0,16.0,0.0,0.0,1.0,23.0,33.0,13.0,-45.0,124.0
34,1,1,112245,1,8,3,9,1,0,60,0,1,2262.0,139.325,20.0,103.0,0.0,127.0,61.0,18.0,32.0,1.0,109.0,279.0,116.0,-73.0,0.0
35,1,1,117435,1,11,1,3,0,0,90,1,0,1355.0,30.654999999999998,9.0,69.0,9.0,59.0,23.0,14.0,13.0,2.0,66.0,249.0,39.0,-24.0,195.0
36,1,1,117862,1,7,2,1,0,1,60,0,0,56.0,0.0,1.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,3.0,9.0,7.0,-66.0,27.0
37,1,1,117939,0,12,1,9,1,0,60,0,0,666.0,19.115000000000002,4.0,54.0,0.0,37.0,17.0,4.0,14.0,0.0,19.0,73.0,9.0,-92.0,171.0
38,1,1,121000,0,4,1,4,0,0,270,1,1,342.0,3.675,2.0,30.0,0.0,25.0,11.0,1.0,6.0,1.0,12.0,32.0,22.0,-51.0,0.0
39,1,1,121390,1,6,1,1,1,0,60,0,1,371.0,15.545,8.0,4.0,0.0,24.0,16.0,1.0,1.0,1.0,20.0,74.0,8.0,-23.0,0.0
40,1,1,124728,0,6,2,1,1,0,150,1,0,186.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,27.0,6.0,-153.0,7.0
41,1,1,125677,1,0,2,8,1,3,150,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-276.0,-12.0
42,1,1,126912,1,1,2,8,1,1,60,0,1,0.0,28.115000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.0,0.0
43,1,1,128678,0,9,2,4,1,1,90,0,1,782.0,27.56,11.0,70.0,1.0,56.0,20.0,2.0,14.0,1.0,37.0,69.0,6.0,-163.0,0.0
44,1,1,128965,1,11,2,6,2,0,120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0
45,1,1,130003,0,0,1,0,0,2,60,0,1,238.0,27.4,8.0,11.0,0.0,23.0,17.0,0.0,5.0,0.0,9.0,32.0,1.0,-50.0,0.0
46,1,1,131145,1,11,2,4,0,0,60,0,1,3335.0,148.765,19.0,237.0,1.0,217.0,68.0,6.0,37.0,1.0,110.0,300.0,75.0,-103.0,0.0
47,1,1,131235,1,3,1,7,1,0,60,0,0,744.0,3.1849999999999996,7.0,43.0,0.0,30.0,10.0,4.0,18.0,3.0,40.0,116.0,70.0,-58.0,40.0
48,1,1,131609,1,6,1,4,1,0,90,0,0,454.0,0.6,7.0,11.0,0.0,26.0,8.0,0.0,1.0,4.0,23.0,50.0,43.0,-16.0,27.0
49,1,1,134025,1,9,2,6,0,0,60,0,1,2060.0,154.73999999999998,11.0,151.0,2.0,171.0,74.0,3.0,22.0,2.0,94.0,198.0,125.0,-58.0,0.0
50,1,1,134188,1,11,2,4,0,0,60,0,1,1150.0,136.055,13.0,121.0,0.0,130.0,52.0,10.0,20.0,0.0,30.0,56.0,19.0,-55.0,0.0
51,1,1,134336,1,10,2,8,0,0,60,0,1,278.0,44.535000000000004,6.0,13.0,0.0,36.0,10.0,6.0,2.0,3.0,22.0,27.0,10.0,-58.0,0.0
52,1,1,137603,1,4,4,8,1,0,60,0,1,1628.0,152.305,10.0,30.0,3.0,123.0,64.0,25.0,27.0,0.0,84.0,224.0,67.0,-184.0,0.0
53,1,1,138709,1,5,1,1,0,0,60,1,0,515.0,0.66,2.0,43.0,0.0,24.0,5.0,7.0,6.0,1.0,17.0,53.0,29.0,-16.0,25.0
54,1,1,141766,0,3,2,7,0,1,120,0,0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-25.0,-5.0
55,1,1,142819,1,7,2,4,0,0,90,0,1,435.0,121.905,7.0,32.0,0.0,33.0,23.0,12.0,14.0,0.0,19.0,65.0,12.0,-24.0,0.0
56,1,1,142998,0,6,3,2,1,0,120,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.0,-47.0
57,1,1,144923,1,10,1,7,1,1,120,0,1,311.0,26.785,3.0,4.0,0.0,30.0,16.0,0.0,3.0,0.0,30.0,28.0,20.0,-29.0,0.0
58,1,1,146089,1,6,3,0,0,0,60,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,0.0
59,1,1,146651,1,8,2,4,0,2,60,0,1,650.0,99.735,10.0,62.0,0.0,64.0,22.0,0.0,18.0,0.0,6.0,35.0,7.0,-24.0,0.0
60,1,1,147307,1,3,1,8,1,1,60,0,0,221.0,1.26,1.0,20.0,0.0,10.0,2.0,2.0,0.0,1.0,11.0,30.0,16.0,-79.0,30.0
61,1,1,150578,0,5,1,6,1,0,60,0,1,674.0,10.715,10.0,62.0,0.0,43.0,11.0,3.0,6.0,1.0,41.0,72.0,35.0,-110.0,0.0
62,1,1,157298,1,12,1,2,1,0,60,0,1,1332.0,108.815,21.0,116.0,1.0,86.0,24.0,2.0,26.0,0.0,41.0,131.0,43.0,-78.0,0.0
63,1,1,159596,1,11,3,8,0,0,60,0,0,571.0,32.215,4.0,52.0,0.0,43.0,21.0,4.0,7.0,0.0,31.0,52.0,22.0,-96.0,160.0
