,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.84507042 0.8436019  0.82629108 0.83568075 0.8440367 ],0.838936169300686,"('total_score',)",0.009195167175829454,0.007154152452846075,0.0035770762264230377
2,"(7, 10)",[0.85046729 0.85849057 0.8372093  0.8440367  0.82568807],0.843178385745029,"('studied_credits', 'total_score')",0.014425850910192032,0.011223802101698328,0.005611901050849164
3,"(5, 7, 10)",[0.86111111 0.85849057 0.8372093  0.8440367  0.82568807],0.845307150023326,"('age_band', 'studied_credits', 'total_score')",0.017009260490712916,0.01323378252225793,0.006616891261128965
4,"(4, 5, 7, 10)",[0.86111111 0.85849057 0.8372093  0.8440367  0.82568807],0.845307150023326,"('imd_band', 'age_band', 'studied_credits', 'total_score')",0.017009260490712916,0.01323378252225793,0.006616891261128965
5,"(4, 5, 6, 7, 10)",[0.85581395 0.85849057 0.83870968 0.84018265 0.82568807],0.8437769837483569,"('imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_score')",0.01550024251546304,0.012059715271213212,0.006029857635606606
6,"(4, 5, 6, 7, 8, 10)",[0.86111111 0.85308057 0.83870968 0.84018265 0.82191781],0.84300036277437,"('imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.01724813826077306,0.013419637542827692,0.006709818771413845
7,"(2, 4, 5, 6, 7, 8, 10)",[0.86111111 0.85849057 0.83870968 0.84792627 0.82191781],0.8456310860136972,"('region', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.0183620414151595,0.014286292039891568,0.007143146019945783
8,"(1, 2, 4, 5, 6, 7, 8, 10)",[0.85581395 0.85849057 0.84259259 0.83870968 0.82191781],0.8435049195514466,"('gender', 'region', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.016914272025712593,0.013159878269417325,0.0065799391347086626
9,"(1, 2, 3, 4, 5, 6, 7, 8, 10)",[0.86111111 0.85849057 0.8317757  0.83486239 0.81447964],0.8401438802827155,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.02250396920795406,0.017508852577586147,0.008754426288793074
10,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 15)",[0.85185185 0.83486239 0.82790698 0.85185185 0.81447964],0.836190540755608,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'oucontent')",0.018467962835575558,0.014368702503474048,0.007184351251737023
11,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 18)",[0.83568075 0.85849057 0.82464455 0.83962264 0.81308411],0.8343045241266889,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'page')",0.01956651843465028,0.015223416081098506,0.007611708040549253
12,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 18)",[0.83018868 0.85849057 0.82464455 0.83809524 0.81690141],0.8336640883183989,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'glossary', 'page')",0.018271097021163023,0.01421553421168234,0.007107767105841169
13,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 18)",[0.83653846 0.84210526 0.82296651 0.81553398 0.82296651],0.8280221439265893,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'page')",0.012566110751158698,0.009776861076484776,0.004888430538242388
14,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 16, 18)",[0.83653846 0.82692308 0.8115942  0.81372549 0.82692308],0.8231408616958488,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'ouelluminate', 'page')",0.011920413772910152,0.009274486890958842,0.004637243445479421
15,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 16, 18)",[0.82692308 0.82296651 0.80769231 0.83091787 0.8115942 ],0.8200187938174208,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouelluminate', 'page')",0.011468138696061954,0.00892260151590009,0.004461300757950044
16,"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 14, 15, 18, 19, 20, 21)",[0.81904762 0.8        0.83253589 0.82075472 0.80555556],0.8155787553503542,"('gender', 'region', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'homepage', 'oucontent', 'page', 'resource', 'subpage', 'url')",0.014873098592707676,0.011571775993169248,0.005785887996584623
17,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 18, 19, 20, 21)",[0.81904762 0.8        0.83253589 0.82075472 0.8       ],0.8144676442392431,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'homepage', 'oucontent', 'page', 'resource', 'subpage', 'url')",0.016314491254780922,0.012693228453108395,0.006346614226554198
18,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 18, 19, 20, 21)",[0.82464455 0.79425837 0.83253589 0.81690141 0.79069767],0.8118075782011094,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'page', 'resource', 'subpage', 'url')",0.021306388846471194,0.016577094370611507,0.008288547185305754
19,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21)",[0.82464455 0.78672986 0.81904762 0.81516588 0.80188679],0.8094949391721278,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'subpage', 'url')",0.01752013946093296,0.013631263717326854,0.006815631858663426
20,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21)",[0.82464455 0.78672986 0.81904762 0.81132075 0.79245283],0.8068391223072435,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.01904238710807408,0.014815624102558394,0.007407812051279197
