,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.87610619 0.80542986 0.84210526 0.8558952  0.84848485],0.8456042734185905,"('total_score',)",0.029705485303043667,0.023111876758736872,0.011555938379368434
2,"(10, 18)",[0.84070796 0.85217391 0.85462555 0.85344828 0.8722467 ],0.8546404800406704,"('total_score', 'page')",0.01300113987237016,0.010115328512156354,0.005057664256078177
3,"(3, 10, 18)",[0.83842795 0.83116883 0.86842105 0.86956522 0.86725664],0.854967937191622,"('highest_education', 'total_score', 'page')",0.021391872946089498,0.016643603904290375,0.008321801952145186
4,"(3, 5, 10, 18)",[0.85840708 0.82251082 0.86343612 0.85964912 0.8722467 ],0.8552499688694235,"('highest_education', 'age_band', 'total_score', 'page')",0.021941037603045454,0.017070872664330446,0.008535436332165223
5,"(3, 5, 10, 13, 18)",[0.86343612 0.84482759 0.85333333 0.85344828 0.85217391],0.8534438463587589,"('highest_education', 'age_band', 'total_score', 'glossary', 'page')",0.0076193039044708906,0.005928077290474389,0.002964038645237194
6,"(3, 5, 8, 10, 13, 18)",[0.86725664 0.82352941 0.85333333 0.84255319 0.87336245],0.852007003834078,"('highest_education', 'age_band', 'disability', 'total_score', 'glossary', 'page')",0.02292515998245515,0.017836553309382937,0.008918276654691469
7,"(3, 5, 6, 8, 10, 13, 18)",[0.85840708 0.82905983 0.83700441 0.83682008 0.86695279],0.845648837474754,"('highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'glossary', 'page')",0.018576784341764633,0.014453369332313375,0.007226684666156688
8,"(1, 3, 6, 8, 10, 13, 15, 17)",[0.86222222 0.85232068 0.83982684 0.85714286 0.84615385],0.8515332880902502,"('gender', 'highest_education', 'num_of_prev_attempts', 'disability', 'total_score', 'glossary', 'oucontent', 'ouwiki')",0.01015818816264064,0.007903415497573268,0.003951707748786633
9,"(1, 3, 6, 8, 10, 13, 15, 17, 18)",[0.85217391 0.85232068 0.84716157 0.85596708 0.84482759],0.8504901649195125,"('gender', 'highest_education', 'num_of_prev_attempts', 'disability', 'total_score', 'glossary', 'oucontent', 'ouwiki', 'page')",0.005119482732750478,0.003983131491734531,0.0019915657458672653
10,"(1, 3, 5, 6, 8, 10, 15, 16, 18, 21)",[0.85106383 0.82644628 0.8185654  0.85       0.85833333],0.840881768991237,"('gender', 'highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'oucontent', 'ouelluminate', 'page', 'url')",0.01989319122230743,0.015477578608044043,0.007738789304022021
11,"(1, 3, 5, 6, 8, 10, 13, 15, 16, 18, 21)",[0.86075949 0.85833333 0.81327801 0.85232068 0.86307054],0.8495524099655093,"('gender', 'highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'glossary', 'oucontent', 'ouelluminate', 'page', 'url')",0.023761818571989494,0.018487502116082792,0.009243751058041396
12,"(1, 3, 5, 6, 7, 8, 10, 13, 15, 16, 18, 21)",[0.85833333 0.83817427 0.82845188 0.84773663 0.83817427],0.8421740778821535,"('gender', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'glossary', 'oucontent', 'ouelluminate', 'page', 'url')",0.013010788296691018,0.010122835314066669,0.0050614176570333335
13,"(1, 3, 5, 6, 7, 8, 10, 13, 15, 16, 18, 19, 21)",[0.81171548 0.84647303 0.83898305 0.87029289 0.83870968],0.8412348251026586,"('gender', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'glossary', 'oucontent', 'ouelluminate', 'page', 'resource', 'url')",0.024077504500188873,0.01873311649311046,0.009366558246555228
14,"(2, 3, 4, 5, 7, 8, 10, 11, 12, 15, 16, 18, 19, 21)",[0.85232068 0.86808511 0.81702128 0.83817427 0.84210526],0.8435413190202048,"('region', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'oucontent', 'ouelluminate', 'page', 'resource', 'url')",0.0216116588357941,0.016814604793329597,0.008407302396664798
15,"(0, 2, 3, 4, 5, 7, 10, 11, 12, 13, 16, 17, 18, 19, 21)",[0.87903226 0.84518828 0.82700422 0.84615385 0.8244898 ],0.8443736808129682,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'total_score', 'externalquiz', 'forumng', 'glossary', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.025068884305901644,0.019504443662385365,0.009752221831192683
16,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 16, 17, 18, 19, 21)",[0.86290323 0.86554622 0.82758621 0.84255319 0.83265306],0.84624838078085,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.019883033216829323,0.015469675334681247,0.0077348376673406225
17,"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 16, 17, 18, 19, 21)",[0.84677419 0.8559322  0.82251082 0.84388186 0.8244898 ],0.8387177743814984,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.01678779730916488,0.0130614766431814,0.0065307383215907
18,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 21)",[0.85       0.87394958 0.80508475 0.82403433 0.82591093],0.8357959183065363,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.030614117513035145,0.02381882348733282,0.01190941174366641
19,"(0, 1, 2, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.82926829 0.84848485 0.86075949 0.85106383 0.82644628],0.843204549123526,"('id_student', 'gender', 'region', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.01698223646707387,0.01321275691377185,0.006606378456885925
20,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21)",[0.86290323 0.84518828 0.84297521 0.82051282 0.82157676],0.8386312601870296,"('id_student', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.020485186388332518,0.01593817095923307,0.007969085479616533
21,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.82352941 0.84978541 0.86075949 0.83261803 0.825     ],0.8383384677823973,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.01874658517480098,0.014585480149108035,0.007292740074554017
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84166667 0.84978541 0.8487395  0.82553191 0.80991736],0.8351281680911651,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.019665606559922822,0.015300510008909833,0.007650255004454916
