,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.84255319 0.81954887 0.84444444 0.81896552 0.82666667],0.8304357384044607,"('total_score',)",0.014165891399392071,0.011021544770616969,0.005510772385308484
2,"(10, 17)",[0.87111111 0.85333333 0.86343612 0.82819383 0.83408072],0.8500310235760742,"('total_score', 'ouwiki')",0.021246191001140013,0.01653025840182519,0.008265129200912595
3,"(4, 10, 17)",[0.85067873 0.85454545 0.84070796 0.87892377 0.86607143],0.8581854695132941,"('imd_band', 'total_score', 'ouwiki')",0.016928109003546323,0.013170643908259583,0.006585321954129791
4,"(4, 6, 10, 17)",[0.85067873 0.84821429 0.85964912 0.87336245 0.85333333],0.8570475840602315,"('imd_band', 'num_of_prev_attempts', 'total_score', 'ouwiki')",0.011572298439279175,0.009003641334771906,0.004501820667385953
5,"(4, 6, 10, 12, 17)",[0.86206897 0.86607143 0.83982684 0.84955752 0.85714286],0.8549335226364523,"('imd_band', 'num_of_prev_attempts', 'total_score', 'forumng', 'ouwiki')",0.012015399691860685,0.009348389162886214,0.004674194581443107
6,"(1, 4, 10, 12, 16, 17)",[0.86206897 0.87111111 0.85840708 0.84955752 0.85714286],0.8596575071082242,"('gender', 'imd_band', 'total_score', 'forumng', 'ouelluminate', 'ouwiki')",0.009031798934068509,0.007027046410599946,0.0035135232052999725
7,"(1, 4, 6, 10, 12, 16, 17)",[0.83700441 0.86695279 0.86607143 0.87111111 0.85087719],0.8584033855301823,"('gender', 'imd_band', 'num_of_prev_attempts', 'total_score', 'forumng', 'ouelluminate', 'ouwiki')",0.016338240963156708,0.012711706533080408,0.006355853266540204
8,"(1, 4, 6, 10, 12, 14, 16, 17)",[0.85344828 0.83898305 0.86580087 0.86222222 0.84304933],0.852700748417375,"('gender', 'imd_band', 'num_of_prev_attempts', 'total_score', 'forumng', 'homepage', 'ouelluminate', 'ouwiki')",0.01340843048624954,0.010432214446755309,0.005216107223377654
9,"(1, 4, 5, 6, 10, 12, 14, 16, 17)",[0.84210526 0.86486486 0.86086957 0.86206897 0.85106383],0.8561944977089253,"('gender', 'imd_band', 'age_band', 'num_of_prev_attempts', 'total_score', 'forumng', 'homepage', 'ouelluminate', 'ouwiki')",0.010850949025153675,0.008442406983971808,0.004221203491985903
10,"(1, 4, 5, 6, 10, 11, 12, 14, 16, 17)",[0.84581498 0.85714286 0.84745763 0.86695279 0.85840708],0.8551550663161315,"('gender', 'imd_band', 'age_band', 'num_of_prev_attempts', 'total_score', 'externalquiz', 'forumng', 'homepage', 'ouelluminate', 'ouwiki')",0.00995915529379586,0.007748561163811309,0.0038742805819056546
11,"(1, 4, 5, 6, 8, 10, 11, 12, 14, 16, 17)",[0.85462555 0.875      0.8559322  0.85355649 0.8583691 ],0.8594966676237435,"('gender', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'forumng', 'homepage', 'ouelluminate', 'ouwiki')",0.010174823978938844,0.007916358727826625,0.003958179363913313
12,"(1, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 19)",[0.86222222 0.83760684 0.86222222 0.84792627 0.85333333],0.8526621765331444,"('gender', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'homepage', 'ouelluminate', 'ouwiki', 'resource')",0.01195156723811881,0.009298725345276782,0.004649362672638391
13,"(1, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 18, 19)",[0.84297521 0.87068966 0.85470085 0.83928571 0.83700441],0.8489311672113793,"('gender', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'homepage', 'ouelluminate', 'ouwiki', 'page', 'resource')",0.01602729400458637,0.01246977923542251,0.006234889617711255
14,"(1, 2, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 18, 19)",[0.84745763 0.85714286 0.85957447 0.8583691  0.85833333],0.8561754768784775,"('gender', 'region', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'homepage', 'ouelluminate', 'ouwiki', 'page', 'resource')",0.005689011555918202,0.004426244264925015,0.0022131221324625076
15,"(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 16, 17, 18, 19)",[0.85714286 0.85185185 0.875      0.83486239 0.83760684],0.8512927863845295,"('gender', 'region', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'homepage', 'ouelluminate', 'ouwiki', 'page', 'resource')",0.018659583641902466,0.014517790000784972,0.007258895000392486
16,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 16, 17, 18, 19)",[0.85477178 0.86725664 0.85344828 0.8202765  0.85333333],0.8498173056583523,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'homepage', 'ouelluminate', 'ouwiki', 'page', 'resource')",0.02013344016834806,0.015664500450109982,0.00783225022505499
17,"(1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 21)",[0.856      0.86956522 0.85333333 0.85232068 0.85375494],0.8569948333083172,"('gender', 'region', 'highest_education', 'imd_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.008224967955277081,0.006399304498400048,0.003199652249200024
18,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19)",[0.8362069  0.87037037 0.84821429 0.83870968 0.86086957],0.8508741590546253,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource')",0.016760001657196096,0.013039850681640031,0.006519925340820015
19,"(1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.85844749 0.85585586 0.85365854 0.84482759 0.8487395 ],0.8523057926061824,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.006317445800901498,0.004915187457498801,0.0024575937287494
20,"(1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84347826 0.85446009 0.85714286 0.84347826 0.85964912],0.8516417191171438,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.008822908899295285,0.006864522866865335,0.0034322614334326676
21,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.85714286 0.82629108 0.86192469 0.84304933 0.84848485],0.8473785597973282,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.015966388873976233,0.012422392974660362,0.00621119648733018
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.78807947 0.78807947 0.78666667 0.78666667 0.78666667],0.7872317880794701,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.0008895878275350983,0.0006921295520446201,0.0003460647760223101
