,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.87610619 0.80542986 0.84210526 0.84848485 0.84848485],0.8441222038142502,"('total_score',)",0.02909534261070321,0.02263716501554338,0.011318582507771688
2,"(10, 19)",[0.83700441 0.84581498 0.82666667 0.85106383 0.87136929],0.8463838348639243,"('total_score', 'resource')",0.019264273438243627,0.014988259205638213,0.007494129602819107
3,"(10, 16, 19)",[0.88311688 0.82352941 0.86842105 0.87068966 0.85957447],0.8610662941541378,"('total_score', 'ouelluminate', 'resource')",0.02598814444827336,0.020219659283438933,0.010109829641719466
4,"(10, 16, 19, 21)",[0.84716157 0.84955752 0.84978541 0.88695652 0.88412017],0.8635162390629135,"('total_score', 'ouelluminate', 'resource', 'url')",0.023169667642883442,0.018026788575925,0.009013394287962499
5,"(8, 10, 16, 19, 21)",[0.86324786 0.85840708 0.86086957 0.88135593 0.88888889],0.8705538658407102,"('disability', 'total_score', 'ouelluminate', 'resource', 'url')",0.015715965066646444,0.01222755474483798,0.00611377737241899
6,"(8, 10, 16, 19, 20, 21)",[0.86440678 0.87111111 0.86324786 0.87719298 0.90677966],0.8765476794986162,"('disability', 'total_score', 'ouelluminate', 'resource', 'subpage', 'url')",0.02046990293539171,0.015926279913615986,0.007963139956807993
7,"(8, 10, 16, 18, 19, 20, 21)",[0.88510638 0.85714286 0.85106383 0.85462555 0.90212766],0.870013256028815,"('disability', 'total_score', 'ouelluminate', 'page', 'resource', 'subpage', 'url')",0.02583816337167018,0.020102968910491546,0.010051484455245773
8,"(5, 8, 10, 16, 18, 19, 20, 21)",[0.86206897 0.85972851 0.86462882 0.8558952  0.8974359 ],0.8679514774415434,"('age_band', 'disability', 'total_score', 'ouelluminate', 'page', 'resource', 'subpage', 'url')",0.019304591850731197,0.015019628300302531,0.007509814150151265
9,"(5, 8, 10, 16, 17, 18, 19, 20, 21)",[0.87068966 0.86343612 0.84120172 0.86462882 0.88412017],0.8648152975786294,"('age_band', 'disability', 'total_score', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.01787177805909712,0.01390485049301748,0.00695242524650874
10,"(5, 8, 10, 11, 16, 17, 18, 19, 20, 21)",[0.88888889 0.86607143 0.84347826 0.85087719 0.85957447],0.8617780478794892,"('age_band', 'disability', 'total_score', 'externalquiz', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.020010930568503893,0.015569183819377459,0.007784591909688728
11,"(5, 6, 8, 10, 11, 16, 17, 18, 19, 20, 21)",[0.86324786 0.86956522 0.85840708 0.86842105 0.86324786],0.8645778152329257,"('age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.005181497783024647,0.004031381307702917,0.0020156906538514583
12,"(1, 5, 6, 8, 10, 11, 16, 17, 18, 19, 20, 21)",[0.86206897 0.86222222 0.84482759 0.85217391 0.86808511],0.8578755586745634,"('gender', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.010652749143982607,0.00828820074291933,0.004144100371459664
13,"(1, 3, 5, 7, 8, 10, 13, 15, 16, 17, 18, 19, 21)",[0.86440678 0.84716157 0.87719298 0.85470085 0.86580087],0.8618526109342559,"('gender', 'highest_education', 'age_band', 'studied_credits', 'disability', 'total_score', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.013162957073599227,0.01024122779217474,0.00512061389608737
14,"(1, 3, 5, 6, 7, 8, 10, 13, 16, 17, 18, 19, 20, 21)",[0.85470085 0.8583691  0.85344828 0.85344828 0.88510638],0.8610145776232325,"('gender', 'highest_education', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'glossary', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.015654976195460066,0.012180103331062574,0.006090051665531286
15,"(1, 3, 4, 5, 7, 8, 9, 10, 13, 16, 17, 18, 19, 20, 21)",[0.8487395  0.85087719 0.85106383 0.86695279 0.86462882],0.8564524258456556,"('gender', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'glossary', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.00990125520304312,0.007703512926149295,0.0038517564630746472
16,"(1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 16, 17, 18, 19, 20, 21)",[0.8583691  0.85585586 0.86343612 0.86343612 0.85201794],0.8586230276968138,"('gender', 'highest_education', 'imd_band', 'age_band', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.005680948627007449,0.004419971032308254,0.002209985516154127
17,"(0, 1, 3, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21)",[0.84615385 0.85972851 0.84978541 0.86725664 0.84848485],0.8542818492638977,"('id_student', 'gender', 'highest_education', 'age_band', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'glossary', 'homepage', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.010248514201230545,0.007973692224268619,0.003986846112134308
