code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,total_number_of_click,total_score,externalquiz,forumng,glossary,homepage,oucontent,ouelluminate,ouwiki,page,resource,subpage,url,date_registration,date_unregistration,final_result
1,1,24213,0,0,2,4,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-128,-46,0
1,1,40419,1,1,1,2,1,0,60,0,144,7.04,1,13,0,9,4,3,2,1,3,14,10,-46,171,0
1,1,41060,1,2,3,7,0,0,60,0,411,63.595,14,11,0,33,34,2,5,0,22,87,6,-24,0,1
1,1,43284,1,1,1,8,0,2,180,0,847,40.2,28,68,0,91,47,22,9,2,32,87,36,-28,226,0
1,1,45664,1,3,3,6,0,1,60,0,1048,95.28,18,45,0,66,27,0,6,2,54,123,64,-31,0,1
1,1,52014,0,4,1,0,1,2,120,0,349,44.24,5,7,0,46,11,0,11,0,9,22,5,4,0,1
1,1,53488,0,0,3,9,0,0,60,0,1426,147.685,16,187,0,103,19,24,32,1,50,124,45,-25,0,1
1,1,53895,1,5,2,6,1,1,60,0,65,0,0,0,0,5,3,0,0,1,5,6,0,-20,27,0
1,1,55242,0,6,1,3,0,0,60,0,13,0,0,0,0,4,3,0,0,0,0,1,1,-52,0,1
1,1,57359,1,1,3,4,1,0,60,0,217,0,2,4,0,9,3,3,0,0,19,46,4,-45,4,0
1,1,60135,0,7,2,0,0,0,60,0,2750,83.25,37,149,4,114,39,4,29,2,92,338,83,-90,0,1
1,1,66579,1,8,1,4,1,0,60,0,681,20.83,4,50,0,38,9,2,11,1,29,64,37,-22,0,1
1,1,67602,1,2,1,3,0,1,60,0,797,93.425,26,51,0,69,31,6,4,0,69,101,31,-28,0,1
1,1,67785,0,9,1,2,0,0,120,1,1351,95.485,8,84,0,74,38,5,15,0,78,157,43,-24,0,1
1,1,69491,0,0,1,8,0,4,60,0,373,112.755,9,10,0,44,19,4,0,0,39,38,13,-29,0,1
