,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.83653846 0.8436019  0.83018868 0.83568075 0.84792627],0.8387872109946313,"('total_score',)",0.008033741784501572,0.006250524040955178,0.003125262020477589
2,"(10, 21)",[0.84651163 0.8490566  0.84259259 0.85046729 0.83870968],0.845467558282427,"('total_score', 'url')",0.005540275533473796,0.004310522586411734,0.002155261293205867
3,"(4, 10, 21)",[0.85046729 0.8490566  0.83870968 0.85581395 0.83870968],0.8465514403640586,"('imd_band', 'total_score', 'url')",0.008724661571774409,0.0067880831082694675,0.0033940415541347337
4,"(1, 4, 10, 21)",[0.86111111 0.8490566  0.83870968 0.85581395 0.83870968],0.8486802046423556,"('gender', 'imd_band', 'total_score', 'url')",0.011558793672248687,0.008993134167220864,0.004496567083610432
5,"(1, 4, 10, 16, 21)",[0.85446009 0.8490566  0.83486239 0.85581395 0.83870968],0.8465805427798253,"('gender', 'imd_band', 'total_score', 'ouelluminate', 'url')",0.010795522746899992,0.0083992834564776,0.0041996417282388
6,"(1, 2, 4, 10, 16, 21)",[0.85446009 0.8490566  0.83870968 0.85581395 0.83486239],0.8465805427798253,"('gender', 'region', 'imd_band', 'total_score', 'ouelluminate', 'url')",0.010795522746899992,0.0083992834564776,0.0041996417282388
7,"(1, 2, 3, 4, 10, 16, 21)",[0.85981308 0.8490566  0.83870968 0.85581395 0.83486239],0.8476511408229126,"('gender', 'region', 'highest_education', 'imd_band', 'total_score', 'ouelluminate', 'url')",0.012328368671038115,0.009591889661271114,0.004795944830635557
8,"(1, 2, 3, 4, 10, 15, 16, 21)",[0.85714286 0.84507042 0.8440367  0.85446009 0.83486239],0.8471144912287178,"('gender', 'region', 'highest_education', 'imd_band', 'total_score', 'oucontent', 'ouelluminate', 'url')",0.010254835708106565,0.007978610571380527,0.003989305285690263
9,"(1, 2, 3, 4, 10, 11, 15, 16, 21)",[0.85446009 0.85308057 0.84792627 0.85446009 0.83870968],0.8497273402428533,"('gender', 'region', 'highest_education', 'imd_band', 'total_score', 'externalquiz', 'oucontent', 'ouelluminate', 'url')",0.007726187512973902,0.006011236369077208,0.0030056181845386034
10,"(1, 2, 3, 4, 5, 10, 11, 15, 16, 21)",[0.85446009 0.85308057 0.84792627 0.85446009 0.83870968],0.8497273402428533,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'total_score', 'externalquiz', 'oucontent', 'ouelluminate', 'url')",0.007726187512973902,0.006011236369077208,0.0030056181845386034
11,"(1, 2, 3, 4, 5, 6, 10, 11, 15, 16, 21)",[0.85446009 0.85308057 0.84792627 0.85446009 0.83870968],0.8497273402428533,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'total_score', 'externalquiz', 'oucontent', 'ouelluminate', 'url')",0.007726187512973902,0.006011236369077208,0.0030056181845386034
12,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 15, 16, 21)",[0.85446009 0.85308057 0.84792627 0.85446009 0.83870968],0.8497273402428533,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'oucontent', 'ouelluminate', 'url')",0.007726187512973902,0.006011236369077208,0.0030056181845386034
13,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 15, 16, 21)",[0.85446009 0.85308057 0.84792627 0.85446009 0.83870968],0.8497273402428533,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouelluminate', 'url')",0.007726187512973902,0.006011236369077208,0.0030056181845386034
14,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 15, 16, 18, 21)",[0.85446009 0.85308057 0.84792627 0.85446009 0.83870968],0.8497273402428533,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouelluminate', 'page', 'url')",0.007726187512973902,0.006011236369077208,0.0030056181845386034
15,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 15, 16, 17, 18, 21)",[0.83962264 0.8490566  0.84651163 0.86255924 0.83486239],0.8465225000434515,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'url')",0.01215487336846972,0.009456904421667248,0.004728452210833623
16,"(1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 15, 16, 17, 18, 19, 21)",[0.8411215  0.8490566  0.84651163 0.84651163 0.83486239],0.8436127480471484,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.0065339761395841415,0.005083655417241173,0.0025418277086205862
17,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 16, 17, 18, 19, 21)",[0.85849057 0.83962264 0.84651163 0.85046729 0.82790698],0.8445998203835916,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.013288420823074309,0.010338842851682285,0.005169421425841142
18,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21)",[0.8436019  0.84761905 0.84507042 0.83962264 0.82407407],0.8399976162944727,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.010761350441650495,0.008372696242047967,0.004186348121023984
19,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21)",[0.84210526 0.8436019  0.83809524 0.83412322 0.8317757 ],0.837940264134225,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'url')",0.005805104346293345,0.004516568399890528,0.002258284199945264
20,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84761905 0.83412322 0.83253589 0.82524272 0.82464455],0.8328330847489924,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.010677097363512422,0.008307144484902568,0.004153572242451283
21,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.84120172 0.79324895 0.84518828 0.8        0.79338843],0.8146054752313543,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.030209819565821194,0.023504265949070294,0.011752132974535145
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.78807947 0.78807947 0.79069767 0.78666667 0.78666667],0.7880379896298578,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_number_of_click', 'total_score', 'externalquiz', 'forumng', 'glossary', 'homepage', 'oucontent', 'ouelluminate', 'ouwiki', 'page', 'resource', 'subpage', 'url')",0.0018923409197929956,0.0014723055246395613,0.0007361527623197807
