,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.87610619 0.80542986 0.84210526 0.8558952  0.84848485],0.8456042734185905,"('total_score',)",0.029705485303043667,0.023111876758736872,0.011555938379368434
2,"(10, 18)",[0.84070796 0.84716157 0.85840708 0.85344828 0.86343612],0.8526322031020552,"('total_score', 'page')",0.010328096461072066,0.00803560992609625,0.0040178049630481254
3,"(6, 10, 18)",[0.83928571 0.84347826 0.88105727 0.85106383 0.84716157],0.8524093291434764,"('num_of_prev_attempts', 'total_score', 'page')",0.019081675126321366,0.01484619151549789,0.007423095757748945
4,"(6, 8, 10, 18)",[0.83928571 0.83842795 0.8722467  0.83404255 0.86695279],0.8501911401620539,"('num_of_prev_attempts', 'disability', 'total_score', 'page')",0.020608615376764262,0.016034202905521378,0.008017101452760687
5,"(3, 6, 8, 10, 18)",[0.83478261 0.84482759 0.88105727 0.83471074 0.8722467 ],0.8535249806923823,"('highest_education', 'num_of_prev_attempts', 'disability', 'total_score', 'page')",0.024985117900736525,0.019439270553346804,0.009719635276673402
6,"(3, 5, 6, 8, 10, 18)",[0.85087719 0.83050847 0.86462882 0.83333333 0.84388186],0.8446459356785688,"('highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'page')",0.015914485094278806,0.012382010070713776,0.006191005035356887
7,"(3, 5, 6, 8, 10, 11, 18)",[0.8209607  0.83333333 0.86956522 0.82051282 0.87553648],0.843981710122822,"('highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'page')",0.030655538680017195,0.023851050562458037,0.011925525281229017
8,"(3, 5, 6, 8, 10, 11, 18, 20)",[0.84033613 0.8487395  0.84745763 0.83842795 0.84821429],0.8446350981366567,"('highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'page', 'subpage')",0.0055916253182743195,0.004350474463507502,0.002175237231753751
9,"(3, 5, 6, 8, 10, 11, 17, 18, 20)",[0.85714286 0.8487395  0.8245614  0.84482759 0.85714286],0.8464828399599404,"('highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'ouwiki', 'page', 'subpage')",0.015376868057921718,0.011963725751810247,0.005981862875905123
10,"(3, 5, 6, 8, 10, 11, 13, 17, 18, 20)",[0.85355649 0.8362069  0.8034188  0.84848485 0.86086957],0.8405073198056832,"('highest_education', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'ouwiki', 'page', 'subpage')",0.025978107307058334,0.02021185004657897,0.010105925023289483
11,"(3, 4, 5, 6, 8, 10, 11, 13, 17, 18, 20)",[0.82352941 0.86324786 0.83261803 0.84033613 0.85      ],0.8419462870434847,"('highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'ouwiki', 'page', 'subpage')",0.017692343796313598,0.013765244540600248,0.006882622270300123
12,"(3, 4, 5, 6, 8, 10, 11, 13, 15, 17, 18, 20)",[0.86554622 0.86746988 0.85232068 0.83682008 0.84297521],0.8530264126809064,"('highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouwiki', 'page', 'subpage')",0.015525220270973224,0.012079148813576584,0.006039574406788292
13,"(1, 3, 4, 5, 6, 8, 10, 11, 13, 15, 17, 18, 20)",[0.82987552 0.87346939 0.83817427 0.88429752 0.80327869],0.8458190778943939,"('gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouwiki', 'page', 'subpage')",0.03798662047004979,0.0295548812560469,0.01477744062802345
14,"(1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 17, 18, 20)",[0.82987552 0.84       0.8220339  0.86530612 0.83193277],0.8378296625071014,"('gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouwiki', 'page', 'subpage')",0.019126356167413507,0.014880954883429397,0.007440477441714698
15,"(0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 17, 18, 20)",[0.81818182 0.83333333 0.83544304 0.84518828 0.8244898 ],0.8313272539854062,"('id_student', 'gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouwiki', 'page', 'subpage')",0.011955907316247816,0.00930210207350787,0.004651051036753934
16,"(0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 17, 18, 19, 20)",[0.81034483 0.8558952  0.81666667 0.8362069  0.83544304],0.8309113250571663,"('id_student', 'gender', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouwiki', 'page', 'resource', 'subpage')",0.020714044820694538,0.01611623059468385,0.008058115297341926
17,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 17, 18, 19, 20)",[0.82300885 0.83333333 0.83404255 0.84745763 0.81781377],0.8311312256766351,"('id_student', 'gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'externalquiz', 'glossary', 'oucontent', 'ouwiki', 'page', 'resource', 'subpage')",0.013147768943381558,0.01022941091087469,0.005114705455437345
