,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.84507042 0.8436019  0.82629108 0.83568075 0.8440367 ],0.838936169,"('total_score',)",0.009195167,0.007154152,0.003577076
2,"(7, 10)",[0.85046729 0.85849057 0.8372093  0.8440367  0.82568807],0.843178386,"('studied_credits', 'total_score')",0.014425851,0.011223802,0.005611901
3,"(5, 7, 10)",[0.86111111 0.85849057 0.8372093  0.8440367  0.82568807],0.84530715,"('age_band', 'studied_credits', 'total_score')",0.01700926,0.013233783,0.006616891
4,"(4, 5, 7, 10)",[0.86111111 0.85849057 0.8372093  0.8440367  0.82568807],0.84530715,"('imd_band', 'age_band', 'studied_credits', 'total_score')",0.01700926,0.013233783,0.006616891
5,"(4, 5, 6, 7, 10)",[0.85581395 0.85849057 0.83870968 0.84018265 0.82568807],0.843776984,"('imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'total_score')",0.015500243,0.012059715,0.006029858
6,"(4, 5, 6, 7, 8, 10)",[0.86111111 0.85308057 0.83870968 0.84018265 0.82191781],0.843000363,"('imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.017248138,0.013419638,0.006709819
7,"(2, 4, 5, 6, 7, 8, 10)",[0.86111111 0.85849057 0.83870968 0.84792627 0.82191781],0.845631086,"('region', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.018362041,0.014286292,0.007143146
8,"(1, 2, 4, 5, 6, 7, 8, 10)",[0.85581395 0.85849057 0.84259259 0.83870968 0.82191781],0.84350492,"('gender', 'region', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.016914272,0.013159878,0.006579939
9,"(1, 2, 3, 4, 5, 6, 7, 8, 10)",[0.86111111 0.85849057 0.8317757  0.83486239 0.81447964],0.84014388,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score')",0.022503969,0.017508853,0.008754426
10,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 15)",[0.85185185 0.83486239 0.82790698 0.85185185 0.81447964],0.836190541,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'oucontent')",0.018467963,0.014368703,0.007184351
11,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 15, 18)",[0.8411215  0.83486239 0.82407407 0.84651163 0.80717489],0.830748894,"('gender', 'region', 'highest_education', 'imd_band', 'age_band', 'num_of_prev_attempts', 'studied_credits', 'disability', 'total_score', 'oucontent', 'page')",0.017932111,0.013951792,0.006975896
