,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.83464567 0.84444444 0.84410646 0.82666667 0.87159533],0.8442917150040152,"('total_score',)",0.019485905623658387,0.015160696575464675,0.007580348287732337
2,"(2, 10)",[0.86462882 0.85087719 0.84955752 0.83333333 0.84070796],0.8478209668004304,"('region', 'total_score')",0.013545605656967762,0.01053894138986549,0.005269470694932744
3,"(2, 10, 17)",[0.875      0.86956522 0.85087719 0.81938326 0.86343612],0.8556523587267344,"('region', 'total_score', 'ouwiki')",0.025491149783761026,0.01983298054990611,0.009916490274953055
4,"(2, 3, 10, 17)",[0.86995516 0.86725664 0.85333333 0.82882883 0.86607143],0.8570890769704811,"('region', 'highest_education', 'total_score', 'ouwiki')",0.019596747387096977,0.015246935233078907,0.007623467616539452
5,"(2, 3, 5, 10, 17)",[0.86725664 0.86086957 0.85333333 0.84545455 0.85964912],0.857312640796086,"('region', 'highest_education', 'age_band', 'total_score', 'ouwiki')",0.009504954221116113,0.007395177298563204,0.0036975886492816015
6,"(2, 3, 5, 10, 14, 17)",[0.87387387 0.84978541 0.85217391 0.83928571 0.84821429],0.8526666389285348,"('region', 'highest_education', 'age_band', 'total_score', 'homepage', 'ouwiki')",0.01473510425718193,0.011464411712009091,0.005732205856004546
7,"(2, 3, 5, 10, 13, 14, 17)",[0.8722467  0.85321101 0.84482759 0.83035714 0.84210526],0.8485495394862976,"('region', 'highest_education', 'age_band', 'total_score', 'glossary', 'homepage', 'ouwiki')",0.01789861131601696,0.013925727678515047,0.006962863839257523
8,"(2, 3, 5, 10, 13, 14, 16, 17)",[0.8722467  0.85957447 0.85964912 0.82191781 0.83333333],0.8493442856959754,"('region', 'highest_education', 'age_band', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'ouwiki')",0.024003845994834995,0.018675807673523618,0.009337903836761809
9,"(2, 3, 5, 7, 10, 13, 14, 16, 17)",[0.85446009 0.84792627 0.83870968 0.85333333 0.85185185],0.8492562447564719,"('region', 'highest_education', 'age_band', 'studied_credits', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'ouwiki')",0.007348420734241405,0.0057173209812442435,0.0028586604906221213
10,"(1, 2, 3, 5, 7, 10, 13, 14, 16, 17)",[0.84444444 0.83408072 0.85462555 0.85201794 0.87336245],0.8517062190457209,"('gender', 'region', 'highest_education', 'age_band', 'studied_credits', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'ouwiki')",0.016669222113596487,0.012969221112640074,0.006484610556320037
