,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(10,)",[0.87610619 0.80542986 0.84210526 0.8558952  0.84848485],0.8456042734185905,"('total_score',)",0.029705485303043667,0.023111876758736872,0.011555938379368434
2,"(10, 14)",[0.83982684 0.84210526 0.83898305 0.85087719 0.87445887],0.8492502442547046,"('total_score', 'homepage')",0.017084108597217068,0.013292016891954342,0.006646008445977171
3,"(10, 14, 16)",[0.86554622 0.82051282 0.86842105 0.86206897 0.86695279],0.8567003693697213,"('total_score', 'homepage', 'ouelluminate')",0.02341273816401241,0.01821590569926784,0.00910795284963392
4,"(1, 10, 14, 16)",[0.86842105 0.82251082 0.85714286 0.87553648 0.87336245],0.8593947316773602,"('gender', 'total_score', 'homepage', 'ouelluminate')",0.025072209525540116,0.019507030796232738,0.009753515398116369
5,"(1, 10, 14, 16, 21)",[0.8559322  0.85714286 0.84848485 0.86842105 0.89177489],0.8643511706848015,"('gender', 'total_score', 'homepage', 'ouelluminate', 'url')",0.019434715564343282,0.01512086897022296,0.00756043448511148
6,"(1, 10, 13, 14, 16, 21)",[0.8559322  0.8558952  0.8558952  0.8583691  0.87553648],0.8603256351604145,"('gender', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'url')",0.009851696996917512,0.007664954958128428,0.0038324774790642136
7,"(1, 9, 10, 13, 14, 16, 21)",[0.87445887 0.83982684 0.85344828 0.88311688 0.85714286],0.8615987460815049,"('gender', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'url')",0.019817786730453237,0.015418911351643059,0.00770945567582153
8,"(1, 5, 9, 10, 13, 14, 16, 21)",[0.83193277 0.85333333 0.84848485 0.87931034 0.87826087],0.8582644338640458,"('gender', 'age_band', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'url')",0.02339158998021868,0.018199451693803007,0.009099725846901503
9,"(1, 5, 9, 10, 13, 14, 16, 20, 21)",[0.84978541 0.85462555 0.86808511 0.83842795 0.87445887],0.8570765773652443,"('gender', 'age_band', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'subpage', 'url')",0.01656252869811989,0.012886210010673289,0.006443105005336644
10,"(1, 5, 9, 10, 13, 14, 16, 18, 20, 21)",[0.84388186 0.85462555 0.84120172 0.85217391 0.8722467 ],0.8528259466035589,"('gender', 'age_band', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'page', 'subpage', 'url')",0.014032041949716356,0.010917405351463532,0.005458702675731766
11,"(1, 2, 5, 9, 10, 13, 14, 16, 18, 20, 21)",[0.82758621 0.85217391 0.84255319 0.84955752 0.86842105],0.8480583772369729,"('gender', 'region', 'age_band', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'page', 'subpage', 'url')",0.017082676297085597,0.013290902513792118,0.006645451256896058
12,"(1, 2, 5, 9, 10, 13, 14, 16, 18, 19, 20, 21)",[0.85714286 0.85087719 0.83842795 0.83982684 0.86206897],0.8496687606135295,"('gender', 'region', 'age_band', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'page', 'resource', 'subpage', 'url')",0.011978839528159686,0.009319944113457913,0.004659972056728957
13,"(0, 1, 2, 5, 9, 10, 13, 14, 16, 18, 19, 20, 21)",[0.86324786 0.84684685 0.8362069  0.84716157 0.87068966],0.8528305667742501,"('id_student', 'gender', 'region', 'age_band', 'total_number_of_click', 'total_score', 'glossary', 'homepage', 'ouelluminate', 'page', 'resource', 'subpage', 'url')",0.015968216853569448,0.012423815204886357,0.006211907602443179
