,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.87875763 0.8796923  0.87689738 0.87902898 0.87533805],0.8779428663946923,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002055024698867465,0.0015988790316621676,0.0007994395158310837
9,"(0, 1, 3, 4, 5, 6, 7, 8, 9)",[0.87627225 0.8762879  0.87910542 0.87999111 0.87816432],0.8779641997567683,"('course_id', 'source_browser', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0019170641248758393,0.0014915410181225483,0.0007457705090612741
8,"(0, 1, 4, 5, 6, 7, 8, 9)",[0.88065359 0.87952828 0.88369009 0.88461821 0.8799235 ],0.8816827351242246,"('course_id', 'source_browser', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0026616489936524823,0.002070853342025999,0.0010354266710129996
7,"(0, 4, 5, 6, 7, 8, 9)",[0.88346445 0.88264014 0.88441582 0.88526397 0.879585  ],0.8830738773578879,"('course_id', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0025127511972947887,0.0019550057979121883,0.0009775028989560941
6,"(0, 4, 5, 6, 7, 9)",[0.88739165 0.886464   0.88605274 0.88681933 0.88832005],0.887009552438035,"('course_id', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_wiki')",0.0010141110030876736,0.0007890128130860682,0.0003945064065430341
5,"(0, 4, 5, 7, 9)",[0.89272708 0.88961274 0.89277078 0.89269365 0.88861556],0.891283962186528,"('course_id', 'event_discussion', 'event_navigate', 'event_problem', 'event_wiki')",0.0023130788585184973,0.0017996539348186216,0.0008998269674093107
4,"(0, 5, 7, 9)",[0.89882336 0.89745799 0.90159049 0.89996779 0.89710218],0.8989883628658182,"('course_id', 'event_navigate', 'event_problem', 'event_wiki')",0.002124217478558443,0.0016527133649678909,0.0008263566824839453
3,"(0, 5, 9)",[0.90365    0.90463002 0.90579503 0.90323497 0.90388926],0.9042398580073364,"('course_id', 'event_navigate', 'event_wiki')",0.0011569685862853505,0.0009001608661554927,0.0004500804330777463
2,"(0, 5)",[0.90414462 0.90404435 0.90650407 0.90468394 0.90373912],0.9046232188703758,"('course_id', 'event_navigate')",0.0012706904701568326,0.0009886403553136711,0.0004943201776568356
1,"(5,)",[0.90414462 0.90404435 0.90650407 0.90468394 0.90373912],0.9046232188703758,"('event_navigate',)",0.0012706904701568326,0.0009886403553136711,0.0004943201776568356
