,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90529741 0.90311594 0.90801895 0.90470665 0.90399333],0.9050264572765577,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.00213900789365369,0.001664220810391005,0.0008321104051955025
9,"(0, 1, 3, 4, 5, 6, 7, 8, 9)",[0.90286624 0.90480324 0.90947201 0.90632471 0.90454117],0.9056014759945029,"('course_id', 'source_browser', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0028594201887076867,0.00222472605071646,0.00111236302535823
8,"(0, 1, 3, 5, 6, 7, 8, 9)",[0.90493085 0.90555515 0.90890007 0.90796128 0.90364414],0.9061982973551412,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002502290910796016,0.0019468673396458313,0.0009734336698229156
7,"(0, 1, 3, 5, 6, 7, 8)",[0.90588958 0.90667728 0.90862393 0.90801444 0.90420679],0.9066824051688682,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.002015990318959159,0.0015685089579673252,0.0007842544789836626
6,"(1, 3, 5, 6, 7, 8)",[0.90588958 0.90667728 0.90862393 0.90801444 0.90420679],0.9066824051688682,"('source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.002015990318959159,0.0015685089579673252,0.0007842544789836626
5,"(1, 3, 6, 7, 8)",[0.9063132  0.90342679 0.90828905 0.90540247 0.90573548],0.9058333999400429,"('source_browser', 'event_access', 'event_page_close', 'event_problem', 'event_video')",0.002011591757733333,0.0015650867279000515,0.0007825433639500256
4,"(1, 3, 6, 7)",[0.90555937 0.90445906 0.9077368  0.90677262 0.90498392],0.9059023548392068,"('source_browser', 'event_access', 'event_page_close', 'event_problem')",0.0015387925938692986,0.0011972329158722846,0.0005986164579361423
3,"(3, 6, 7)",[0.89964872 0.9025459  0.90701374 0.90508951 0.90267789],0.9033951516337794,"('event_access', 'event_page_close', 'event_problem')",0.003212531779803395,0.0024994588649502438,0.0012497294324751219
2,"(3, 7)",[0.901114   0.89982985 0.89960307 0.89961558 0.89931184],0.8998948706886571,"('event_access', 'event_problem')",0.0008115845605204022,0.0006314403602798324,0.0003157201801399162
1,"(3,)",[0.85491905 0.8949274  0.89702333 0.89903899 0.89161404],0.8875045633455277,"('event_access',)",0.021177692121419137,0.01647696394627027,0.008238481973135134
