,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91525543 0.91286628 0.91893045 0.91374249 0.90710646],0.9135802208609454,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.004940499273075076,0.003843876279450677,0.0019219381397253383
9,"(0, 1, 2, 3, 4, 6, 7, 8, 9)",[0.91496171 0.91451349 0.91571439 0.91632276 0.91444927],0.9151923225822813,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0009297821469177045,0.0007234020980574241,0.00036170104902871205
8,"(0, 1, 2, 3, 4, 6, 7, 9)",[0.91333357 0.91388489 0.91772083 0.91642651 0.91305725],0.9148846119829253,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_page_close', 'event_problem', 'event_wiki')",0.0023815051499908044,0.0018528919142500949,0.0009264459571250473
7,"(0, 1, 2, 3, 4, 7, 9)",[0.91399131 0.91264885 0.91849462 0.91503973 0.91254119],0.9145431416786943,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_problem', 'event_wiki')",0.0028019019761976365,0.0021799749273009165,0.0010899874636504582
6,"(1, 2, 3, 4, 7, 9)",[0.91323938 0.91228579 0.91769852 0.91508721 0.91304192],0.9142705630924514,"('source_browser', 'source_server', 'event_access', 'event_discussion', 'event_problem', 'event_wiki')",0.002500878753821413,0.0019457686335439762,0.000972884316771988
5,"(1, 2, 3, 4, 7)",[0.91436533 0.91272109 0.91738455 0.91585212 0.91420585],0.9149057880928959,"('source_browser', 'source_server', 'event_access', 'event_discussion', 'event_problem')",0.0020399080531276316,0.0015871177677144375,0.0007935588838572186
4,"(1, 2, 4, 7)",[0.90924376 0.91119663 0.91638724 0.91534201 0.91445449],0.9133248251677746,"('source_browser', 'source_server', 'event_discussion', 'event_problem')",0.003444380926881797,0.0026798453780547864,0.0013399226890273932
3,"(1, 2, 4)",[0.90747244 0.91039706 0.91416835 0.91143036 0.91273576],0.9112407952804451,"('source_browser', 'source_server', 'event_discussion')",0.0029170049092809573,0.0022695289196646862,0.0011347644598323431
2,"(2, 4)",[0.910693   0.91129872 0.91046761 0.91111111 0.91256949],0.911227987510378,"('source_server', 'event_discussion')",0.0009414571315781196,0.0007324856327608283,0.0003662428163804141
1,"(2,)",[0.89329384 0.90551181 0.91361266 0.91079677 0.91160893],0.9069648022969254,"('source_server',)",0.00943533618475582,0.007341012101121387,0.0036705060505606932
