,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90993722 0.90894655 0.91413503 0.91178276 0.90902509],0.9107653290006358,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0025325258171615744,0.001970391123977378,0.000985195561988689
9,"(0, 1, 2, 3, 5, 6, 7, 8, 9)",[0.90953739 0.90914346 0.912822   0.91152234 0.91016275],0.9106375861104823,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0017456069656155513,0.0013581415232548153,0.0006790707616274076
8,"(1, 2, 3, 5, 6, 7, 8, 9)",[0.9088351  0.90945209 0.91384171 0.91124774 0.91103718],0.9108827612489179,"('source_browser', 'source_server', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0022374522729574336,0.0017408138819684405,0.0008704069409842201
7,"(2, 3, 5, 6, 7, 8, 9)",[0.90788903 0.91028557 0.91322583 0.9110099  0.90985386],0.9104528386110555,"('source_server', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0022231935094942155,0.0017297200795769975,0.0008648600397884986
6,"(2, 3, 5, 6, 7, 8)",[0.90836164 0.90806592 0.91116898 0.90977471 0.90924887],0.9093240224671997,"('source_server', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.0014221679189237793,0.0011064949566411521,0.000553247478320576
5,"(2, 3, 6, 7, 8)",[0.90623079 0.90729555 0.90915679 0.90767221 0.90742418],0.9075559035765531,"('source_server', 'event_access', 'event_page_close', 'event_problem', 'event_video')",0.0012080964676726975,0.0009399400948570217,0.00046997004742851083
4,"(2, 6, 7, 8)",[0.9065749  0.90417619 0.90610584 0.90667441 0.90234517],0.9051753025575613,"('source_server', 'event_page_close', 'event_problem', 'event_video')",0.002156838273058454,0.0016780934513245028,0.0008390467256622514
3,"(2, 6, 7)",[0.90411058 0.90296584 0.90272176 0.90375749 0.90142686],0.9029965053345258,"('source_server', 'event_page_close', 'event_problem')",0.0012002825339296039,0.0009338605889398834,0.0004669302944699417
2,"(2, 7)",[0.90448874 0.90334146 0.90720246 0.90507236 0.90320729],0.9046624632376439,"('source_server', 'event_problem')",0.0018636609911747096,0.0014499915658230972,0.0007249957829115486
1,"(2,)",[0.90999068 0.91042521 0.91542611 0.91063002 0.91037021],0.9113684446047534,"('source_server',)",0.002621129681505379,0.0020393279406013443,0.0010196639703006721
