,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.87942265 0.87725138 0.87590862 0.87764933 0.87569092],0.8771845774430673,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.001732858047725097,0.001348222432013399,0.0006741112160066995
9,"(0, 1, 2, 3, 4, 5, 6, 7, 9)",[0.87743176 0.87688665 0.87655602 0.879855   0.87814256],0.8777743981881541,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_wiki')",0.0015048755379565072,0.0011708442940982684,0.0005854221470491341
8,"(0, 1, 2, 4, 5, 6, 7, 9)",[0.87696413 0.87868271 0.87798016 0.87961524 0.87915095],0.878478638174296,"('course_id', 'source_browser', 'source_server', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_wiki')",0.0011957693128595412,0.0009303491496184215,0.00046517457480921065
7,"(0, 1, 2, 4, 6, 7, 9)",[0.88146456 0.88195926 0.88178302 0.88045163 0.88146703],0.8814250979439608,"('course_id', 'source_browser', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_wiki')",0.0006714071126364627,0.000522377543537501,0.0002611887717687505
6,"(0, 2, 4, 6, 7, 9)",[0.88616694 0.88579061 0.88748716 0.88776446 0.88366972],0.8861757781045642,"('course_id', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_wiki')",0.0018777890541311203,0.0014609836787799182,0.0007304918393899591
5,"(0, 2, 4, 7, 9)",[0.89317992 0.89181446 0.89534673 0.89360928 0.89244651],0.8932793798029672,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.001545806002116075,0.001202689585756806,0.0006013447928784029
4,"(0, 2, 4, 9)",[0.90083417 0.89633508 0.9003706  0.90099438 0.89797542],0.8993019286206172,"('course_id', 'source_server', 'event_discussion', 'event_wiki')",0.0023641003112680322,0.001839350358424202,0.000919675179212101
3,"(0, 2, 9)",[0.90786064 0.90727573 0.91056325 0.90707361 0.90713053],0.9079807533967476,"('course_id', 'source_server', 'event_wiki')",0.001698002561692988,0.0013211036797249982,0.000660551839862499
2,"(0, 2)",[0.91015387 0.91045796 0.91542611 0.91063002 0.9103254 ],0.911398671508663,"('course_id', 'source_server')",0.0025959968543327375,0.0020197737472162866,0.001009886873608143
1,"(2,)",[0.91015387 0.91045796 0.91542611 0.91063002 0.9103254 ],0.911398671508663,"('source_server',)",0.0025959968543327375,0.0020197737472162866,0.001009886873608143
