,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90807839 0.90834493 0.91080047 0.90915591 0.91065292],0.9094065250002592,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0014598463071932315,0.001135810022773473,0.0005679050113867364
9,"(0, 1, 2, 3, 4, 5, 6, 7, 8)",[0.90929883 0.90933781 0.91215007 0.90995634 0.91102591],0.9103537921666689,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.001405789318661574,0.0010937518492022738,0.0005468759246011368
8,"(0, 1, 2, 3, 4, 5, 6, 8)",[0.90977954 0.90983167 0.91313681 0.91064652 0.91120826],0.9109205595183957,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_video')",0.0015801463335346282,0.001229407530254365,0.0006147037651271825
7,"(0, 1, 2, 3, 4, 5, 6)",[0.910706   0.90999251 0.91455312 0.91082028 0.91183104],0.9115805897983564,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close')",0.0020535411093939395,0.001597724748649354,0.000798862374324677
6,"(0, 2, 3, 4, 5, 6)",[0.9115142  0.91044351 0.91539449 0.91170592 0.91169314],0.9121502547640563,"('course_id', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close')",0.0021697445142402918,0.0016881349454314048,0.0008440674727157024
5,"(0, 2, 3, 5, 6)",[0.91179528 0.91131893 0.91558651 0.91380795 0.91204954],0.9129116417283031,"('course_id', 'source_server', 'event_access', 'event_navigate', 'event_page_close')",0.002030966402581148,0.0015801608598120156,0.0007900804299060077
4,"(0, 2, 3, 6)",[0.91117764 0.91237077 0.91541756 0.91309626 0.91289074],0.9129905930641341,"('course_id', 'source_server', 'event_access', 'event_page_close')",0.0017793056257091298,0.0013843602256618601,0.0006921801128309301
3,"(2, 3, 6)",[0.91117764 0.91237077 0.91541756 0.91309626 0.91289074],0.9129905930641341,"('source_server', 'event_access', 'event_page_close')",0.0017793056257091298,0.0013843602256618601,0.0006921801128309301
2,"(2, 6)",[0.91183163 0.91155254 0.91433044 0.91256539 0.9132981 ],0.9127156189969273,"('source_server', 'event_page_close')",0.0012985505586811982,0.0010103164506844026,0.0005051582253422013
1,"(2,)",[0.90932597 0.91143216 0.91234084 0.91049523 0.91083609],0.9108860584578207,"('source_server',)",0.0012857711686757509,0.001000373651102284,0.000500186825551142
