,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90529741 0.90311594 0.90801895 0.90470665 0.90399333],0.9050264572765577,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.00213900789365369,0.001664220810391005,0.0008321104051955025
9,"(0, 1, 3, 4, 5, 6, 7, 8, 9)",[0.90286624 0.90480324 0.90947201 0.90632471 0.90454117],0.9056014759945029,"('course_id', 'source_browser', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0028594201887076867,0.00222472605071646,0.00111236302535823
8,"(0, 1, 3, 5, 6, 7, 8, 9)",[0.90493085 0.90555515 0.90890007 0.90796128 0.90364414],0.9061982973551412,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002502290910796016,0.0019468673396458313,0.0009734336698229156
7,"(0, 1, 3, 5, 6, 7, 8)",[0.90588958 0.90667728 0.90862393 0.90801444 0.90420679],0.9066824051688682,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.002015990318959159,0.0015685089579673252,0.0007842544789836626
6,"(1, 3, 5, 6, 7, 8)",[0.90588958 0.90667728 0.90862393 0.90801444 0.90420679],0.9066824051688682,"('source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.002015990318959159,0.0015685089579673252,0.0007842544789836626
5,"(1, 3, 4, 6, 7)",[0.9047258  0.90544495 0.90945863 0.90678916 0.90449824],0.9061833589367728,"('source_browser', 'event_access', 'event_discussion', 'event_page_close', 'event_problem')",0.002342173911057127,0.0018222908741482367,0.0009111454370741184
4,"(1, 3, 6, 7)",[0.90555937 0.90445906 0.9077368  0.90677262 0.90498392],0.9059023548392068,"('source_browser', 'event_access', 'event_page_close', 'event_problem')",0.0015387925938692986,0.0011972329158722846,0.0005986164579361423
3,"(2, 3, 7)",[0.90272402 0.90443093 0.90816216 0.90604658 0.90264014],0.904800765283736,"('source_server', 'event_access', 'event_problem')",0.0026941454233961634,0.0020961366683771077,0.0010480683341885539
2,"(2, 6)",[0.90322115 0.90203595 0.90545862 0.90236494 0.90012661],0.9026414517481379,"('source_server', 'event_page_close')",0.0022291575336826613,0.0017343602930131117,0.0008671801465065559
1,"(2,)",[0.87426407 0.90184159 0.90704427 0.90342364 0.90390897],0.8980965094336166,"('source_server',)",0.015468797841905756,0.012035250246906735,0.006017625123453368
