,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91042074 0.91353642 0.91716277 0.91469194 0.91438173],0.9140387201638159,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002795094125871368,0.0021746781884620287,0.0010873390942310144
9,"(0, 1, 2, 3, 4, 6, 7, 8, 9)",[0.91415213 0.91397051 0.91847612 0.9151806  0.91430197],0.9152162676354646,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0021620536521678615,0.0016821511934551922,0.000841075596727596
8,"(0, 1, 2, 4, 6, 7, 8, 9)",[0.91395902 0.91451178 0.91849833 0.91606404 0.91470274],0.9155471827917403,"('course_id', 'source_browser', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.00209497119693967,0.0016299587642761746,0.0008149793821380873
7,"(1, 2, 4, 6, 7, 8, 9)",[0.91174225 0.91423206 0.91847768 0.9165043  0.9140952 ],0.9150102969816276,"('source_browser', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0029521430312345054,0.0022968675723020384,0.001148433786151019
6,"(1, 2, 4, 6, 7, 8)",[0.91343284 0.91338924 0.9156055  0.91580544 0.91432473],0.9145115503255671,"('source_browser', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video')",0.0013269008537000256,0.0010323739433617514,0.0005161869716808756
5,"(1, 2, 4, 6, 7)",[0.91427348 0.91451533 0.91774119 0.91493821 0.91377331],0.915048303783531,"('source_browser', 'source_server', 'event_discussion', 'event_page_close', 'event_problem')",0.0017969957005470368,0.0013981237048757362,0.0006990618524378681
4,"(1, 2, 4, 7)",[0.91003095 0.91397085 0.91810653 0.9150679  0.91274098],0.9139834406799349,"('source_browser', 'source_server', 'event_discussion', 'event_problem')",0.0034171318547142134,0.002658644674167865,0.0013293223370839326
3,"(2, 7, 9)",[0.91169986 0.91336124 0.91719654 0.91415926 0.91268405],0.9138201913147992,"('source_server', 'event_problem', 'event_wiki')",0.002405381208643725,0.0018714682990302529,0.0009357341495151264
2,"(2, 7)",[0.91218928 0.91367009 0.91591212 0.91333166 0.91269699],0.9135600308214716,"('source_server', 'event_problem')",0.00164802091279118,0.0012822162588385035,0.0006411081294192516
1,"(2,)",[0.90949688 0.90764959 0.91390822 0.9109104  0.90948135],0.9102892902363184,"('source_server',)",0.0026795225627690516,0.0020847595860225784,0.0010423797930112892
