,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90899903 0.90960187 0.91396374 0.91202834 0.91041215],0.9110010237172392,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0023096237519181157,0.0017969657445021973,0.0008984828722510987
9,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91066657 0.90922221 0.91443232 0.91235679 0.90985446],0.911306471347646,"('source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002420719723847724,0.0018834021849587386,0.0009417010924793693
8,"(1, 2, 3, 4, 5, 6, 8, 9)",[0.90974052 0.90960268 0.91487209 0.91106134 0.91029348],0.9111140226098682,"('source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_video', 'event_wiki')",0.002503501554656621,0.0019478092616989327,0.0009739046308494662
7,"(1, 2, 3, 4, 5, 6, 8)",[0.90895307 0.90900556 0.91359272 0.91033336 0.90958566],0.9102940743632569,"('source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_video')",0.002214511314238318,0.0017229650367052004,0.0008614825183526001
6,"(1, 2, 3, 4, 6, 8)",[0.90760496 0.90781527 0.91199653 0.90987435 0.90969682],0.9093975856372103,"('source_browser', 'source_server', 'event_access', 'event_discussion', 'event_page_close', 'event_video')",0.002055547898245218,0.0015992860985528615,0.0007996430492764308
5,"(1, 2, 4, 6, 8)",[0.90752829 0.90638822 0.90931533 0.90778599 0.90734963],0.9076734928552117,"('source_browser', 'source_server', 'event_discussion', 'event_page_close', 'event_video')",0.0012174577416473394,0.0009472234840425376,0.0004736117420212688
4,"(2, 4, 7, 9)",[0.90569858 0.90612452 0.9088736  0.90755633 0.90511584],0.9066737728421528,"('source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.0017527108617064484,0.0013636685957562316,0.0006818342978781158
3,"(2, 4, 9)",[0.90513465 0.90362963 0.90735812 0.90534802 0.90406117],0.9051063176057982,"('source_server', 'event_discussion', 'event_wiki')",0.001666205334526238,0.0012963643567329515,0.0006481821783664757
2,"(2, 9)",[0.90895399 0.90803568 0.91104889 0.90733245 0.90823715],0.9087216330760205,"('source_server', 'event_wiki')",0.0016364335469464582,0.001273200894550408,0.0006366004472752039
1,"(2,)",[0.91005595 0.91029422 0.91532736 0.91019952 0.91037021],0.911249452189017,"('source_server',)",0.0026241172884067716,0.002041652400269454,0.0010208262001347268
