,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.91015387 0.91045796 0.91542611 0.91063002 0.9103254 ],0.911398671508663,"('source_server',)",0.0025959968543327375,0.0020197737472162866,0.001009886873608143
2,"(0, 2)",[0.91015387 0.91045796 0.91542611 0.91063002 0.9103254 ],0.911398671508663,"('course_id', 'source_server')",0.0025959968543327375,0.0020197737472162866,0.001009886873608143
3,"(0, 2, 9)",[0.90793925 0.90731497 0.91060246 0.90700847 0.90720909],0.9080148482265928,"('course_id', 'source_server', 'event_wiki')",0.0017102901360670742,0.0013306638300373242,0.0006653319150186621
4,"(0, 2, 4, 9)",[0.90073701 0.8957476  0.90041733 0.90122878 0.89770385],0.8991669147316987,"('course_id', 'source_server', 'event_discussion', 'event_wiki')",0.002702922195866077,0.002102965295534508,0.001051482647767254
5,"(0, 2, 4, 7, 9)",[0.89230769 0.89304619 0.89491082 0.89398677 0.89267387],0.8933850684768988,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.00121544493019336,0.0009456574483495211,0.00047282872417476053
6,"(0, 2, 4, 7, 8, 9)",[0.88853095 0.88783305 0.88622798 0.88926297 0.88636864],0.8876447192339645,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0015289166587635686,0.0011895491028420517,0.0005947745514210259
7,"(0, 2, 4, 6, 7, 8, 9)",[0.88429904 0.87833303 0.8814471  0.88551755 0.8782413 ],0.881567603618348,"('course_id', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.003838873640162794,0.002986774111201453,0.0014933870556007266
8,"(0, 1, 2, 4, 6, 7, 8, 9)",[0.87959312 0.8820324  0.87883492 0.88091378 0.87967816],0.880210475330865,"('course_id', 'source_browser', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0014508071152890384,0.0011287772243809525,0.0005643886121904762
9,"(0, 1, 2, 4, 5, 6, 7, 8, 9)",[0.87509277 0.87826665 0.87643699 0.88161488 0.876372  ],0.8775566577490108,"('course_id', 'source_browser', 'source_server', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002914015662072887,0.002267203183782255,0.0011336015918911274
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.87852888 0.87800363 0.8761827  0.87939587 0.87616294],0.8776548038490978,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0016569518166559243,0.0012891648054574318,0.0006445824027287159
