,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.87426407 0.90184159 0.90704427 0.90342364 0.90390897],0.8980965094336166,"('source_server',)",0.015468797841905756,0.012035250246906735,0.006017625123453368
2,"(2, 6)",[0.90322115 0.90203595 0.90545862 0.90236494 0.90012661],0.9026414517481379,"('source_server', 'event_page_close')",0.0022291575336826613,0.0017343602930131117,0.0008671801465065559
3,"(2, 6, 7)",[0.90413432 0.90351922 0.90363886 0.90680537 0.90397889],0.9044153346428832,"('source_server', 'event_page_close', 'event_problem')",0.001562320760245998,0.0012155386286424987,0.0006077693143212493
4,"(2, 5, 6, 7)",[0.90544495 0.90284103 0.90657114 0.90721501 0.90444662],0.9053037496414286,"('source_server', 'event_navigate', 'event_page_close', 'event_problem')",0.0019976891203463644,0.0015542700036947036,0.0007771350018473518
5,"(2, 5, 6, 7, 8)",[0.90130624 0.90500489 0.90772796 0.90793467 0.90492919],0.9053805915989519,"('source_server', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.0030942553345923085,0.002407435772336435,0.0012037178861682176
6,"(1, 2, 5, 6, 7, 8)",[0.90569581 0.90458416 0.90770901 0.90680575 0.90564537],0.9060880213713484,"('source_browser', 'source_server', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.0013788129739625693,0.001072763336551355,0.0005363816682756776
7,"(1, 2, 5, 6, 7, 8, 9)",[0.90517335 0.90523492 0.90813629 0.90761539 0.9047688 ],0.9061857494376607,"('source_browser', 'source_server', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0017980555488797448,0.0013989483028851145,0.0006994741514425571
8,"(0, 1, 2, 5, 6, 7, 8, 9)",[0.90517335 0.90523492 0.90813629 0.90761539 0.9047688 ],0.9061857494376607,"('course_id', 'source_browser', 'source_server', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0017980555488797448,0.0013989483028851145,0.0006994741514425571
9,"(0, 1, 2, 3, 5, 6, 7, 8, 9)",[0.90384894 0.90358167 0.90784612 0.90606335 0.90609137],0.9054862885902765,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0020384271028709524,0.0015859655381019932,0.0007929827690509965
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90529741 0.90311594 0.90801895 0.90470665 0.90399333],0.9050264572765577,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.00213900789365369,0.001664220810391005,0.0008321104051955025
