,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.90492342 0.91058085 0.91607641 0.91047486 0.91154659],0.9107204266091141,"('source_server',)",0.004564289917896796,0.0035511726200536903,0.0017755863100268451
2,"(2, 7)",[0.91123923 0.91101264 0.91579855 0.91262345 0.91326803],0.9127883811995515,"('source_server', 'event_problem')",0.0022166323768405397,0.001724615295469197,0.0008623076477345985
3,"(2, 7, 9)",[0.9124627  0.91276182 0.91813138 0.91410247 0.91335598],0.9141628696976181,"('source_server', 'event_problem', 'event_wiki')",0.0026501491440855287,0.002061906068375223,0.0010309530341876115
4,"(2, 4, 7, 9)",[0.91214187 0.91302155 0.91706718 0.91546333 0.91156116],0.9138510166254685,"('source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.0026835134137536396,0.0020878646036709128,0.0010439323018354562
5,"(2, 4, 6, 7, 9)",[0.9127531  0.91370595 0.91786987 0.91569695 0.91346877],0.9146989297105336,"('source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_wiki')",0.002393298163433105,0.0018620672793556315,0.0009310336396778157
6,"(0, 2, 4, 6, 7, 9)",[0.91371066 0.91450935 0.91745563 0.91444751 0.91350279],0.9147251892710241,"('course_id', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_wiki')",0.001826970859674049,0.0014214453970312268,0.0007107226985156133
7,"(0, 2, 4, 5, 6, 7, 9)",[0.91380464 0.91446696 0.91800921 0.91680307 0.91392296],0.9154013689087999,"('course_id', 'source_server', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_wiki')",0.0021792361831213937,0.0016955197862840905,0.0008477598931420451
8,"(0, 2, 4, 5, 6, 7, 8, 9)",[0.91323312 0.9121528  0.91831371 0.91457887 0.9150822 ],0.9146721411888556,"('course_id', 'source_server', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002687194929780259,0.0020907289482128217,0.0010453644741064108
9,"(0, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91312775 0.91183659 0.91827061 0.91564709 0.91487835],0.914752077150227,"('course_id', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002835550637942255,0.0022061547292938624,0.0011030773646469312
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90329176 0.91466178 0.91823632 0.91453862 0.91251701],0.912649097049902,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.006462736046672536,0.005028228204695842,0.002514114102347921
