,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.91015387 0.91035971 0.91542611 0.9106481  0.91057262],0.9114320816050856,"('source_server',)",0.002576316325655696,0.0020044616272933045,0.0010022308136466522
2,"(0, 2)",[0.91015387 0.91035971 0.91511506 0.91019952 0.91040953],0.9112475374341716,"('course_id', 'source_server')",0.0024884722170356454,0.0019361159264338179,0.0009680579632169088
3,"(0, 2, 9)",[0.90859521 0.90792445 0.91105044 0.90729614 0.90800889],0.9085750241841121,"('course_id', 'source_server', 'event_wiki')",0.0016765427910037521,0.0013044072490698303,0.0006522036245349152
4,"(0, 2, 4, 9)",[0.90597063 0.90401786 0.90756182 0.90523664 0.90362403],0.9052821939388899,"('course_id', 'source_server', 'event_discussion', 'event_wiki')",0.0018195628830265595,0.0014156817395261651,0.0007078408697630826
5,"(0, 2, 4, 7, 9)",[0.90595385 0.9058296  0.90966364 0.90772128 0.9052303 ],0.9068797319155516,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.0020835203923671715,0.0016210496492973041,0.000810524824648652
6,"(0, 2, 4, 7, 8, 9)",[0.90748994 0.90629644 0.9092559  0.90818733 0.90658444],0.9075628098228279,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0013870158041019052,0.0010791454170768588,0.0005395727085384293
7,"(0, 2, 4, 6, 7, 8, 9)",[0.90780244 0.90673032 0.9110395  0.90998588 0.90650245],0.9084121185409911,"('course_id', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0023154431304461495,0.001801493418700423,0.0009007467093502115
8,"(0, 2, 4, 5, 6, 7, 8, 9)",[0.90920905 0.9097019  0.91326844 0.91186576 0.9089395 ],0.910596929759824,"('course_id', 'source_server', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002167632509173815,0.0016864917337379322,0.0008432458668689661
9,"(0, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90893341 0.91051511 0.9130026  0.9120613  0.90916989],0.9107364621444493,"('course_id', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0020439551110834737,0.0015902665162959423,0.0007951332581479712
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90935314 0.90895312 0.91393073 0.91157103 0.91011642],0.9107848873761528,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0023253762141080643,0.0018092216952488918,0.0009046108476244459
