,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.91017281 0.91172379 0.91530376 0.91165977 0.91153064],0.9120781544680258,"('source_server',)",0.0021989553908062657,0.001710861999789217,0.0008554309998946085
2,"(2, 7)",[0.91237315 0.91323582 0.91650928 0.91409817 0.91248391],0.9137400680758997,"('source_server', 'event_problem')",0.0019490232445245569,0.0015164062989655855,0.0007582031494827926
3,"(2, 4, 7)",[0.91287636 0.91396202 0.91728681 0.91507651 0.91349036],0.9145384122884774,"('source_server', 'event_discussion', 'event_problem')",0.001994170803059375,0.001551532633316624,0.0007757663166583119
4,"(2, 4, 7, 9)",[0.91317344 0.9143549  0.91746778 0.9154573  0.91353357],0.9147973972389021,"('source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.0019908913665661757,0.0015489811203116786,0.0007744905601558392
5,"(2, 4, 7, 8, 9)",[0.91288256 0.91418801 0.91789504 0.91536184 0.91394743],0.9148549772350048,"('source_server', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0022006474233663815,0.0017121784586048943,0.0008560892293024471
6,"(2, 3, 4, 7, 8, 9)",[0.91263934 0.91412071 0.91780724 0.9159172  0.91431632],0.9149601615949242,"('source_server', 'event_access', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.002264975322225826,0.0017622277493476934,0.0008811138746738466
7,"(1, 3, 5, 6, 7, 8, 9)",[0.91328821 0.91449363 0.91795329 0.91567726 0.9155473 ],0.9153919370350208,"('source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.001982741671724637,0.001542640380853042,0.0007713201904265209
8,"(0, 1, 3, 5, 6, 7, 8, 9)",[0.91324949 0.91449363 0.91795329 0.91567726 0.91548189],0.9153711118388305,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0019948837935076513,0.0015520873641080117,0.0007760436820540059
9,"(0, 1, 3, 4, 5, 6, 7, 8, 9)",[0.91319679 0.9144385  0.91776867 0.91561542 0.9152264 ],0.9152491569764681,"('course_id', 'source_browser', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0019366533121929095,0.0015067820713643059,0.0007533910356821529
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91277703 0.9142796  0.91762609 0.91551054 0.91454487],0.91494762506341,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002057351113315703,0.0016006890611388414,0.0008003445305694207
