,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.91015387 0.91045796 0.91542611 0.91063002 0.9103254 ],0.911398671508663,"('source_server',)",0.0025959968543327375,0.0020197737472162866,0.001009886873608143
2,"(0, 2)",[0.91015387 0.91045796 0.91542611 0.91063002 0.9103254 ],0.911398671508663,"('course_id', 'source_server')",0.0025959968543327375,0.0020197737472162866,0.001009886873608143
3,"(0, 2, 9)",[0.90800461 0.90728239 0.91064167 0.90711285 0.90724836],0.9080579740983448,"('course_id', 'source_server', 'event_wiki')",0.0017078984771842257,0.0013288030381739552,0.0006644015190869776
4,"(0, 2, 4, 9)",[0.90044598 0.89614329 0.90014388 0.90111396 0.89759907],0.8990892367584257,"('course_id', 'source_server', 'event_discussion', 'event_wiki')",0.002435393975060733,0.001894819250935004,0.0009474096254675019
5,"(0, 2, 4, 7, 9)",[0.89188797 0.89202423 0.89524916 0.89393278 0.89259205],0.8931372393567385,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.001644952387318496,0.0012798288417728595,0.0006399144208864298
6,"(0, 2, 4, 7, 8, 9)",[0.88900271 0.88711858 0.88543917 0.88937681 0.88631108],0.8874496679163556,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0019554944982170374,0.001521441154188092,0.000760720577094046
7,"(0, 2, 3, 4, 5, 7, 9)",[0.88411229 0.87864937 0.88380631 0.88414006 0.88123734],0.8823890725946791,"('course_id', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_problem', 'event_wiki')",0.0027778865855233315,0.0021612901374745545,0.0010806450687372772
8,"(0, 1, 2, 3, 4, 5, 7, 9)",[0.87766272 0.87819304 0.87729698 0.88085894 0.87908762],0.8786198607109952,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_problem', 'event_wiki')",0.0016339470882185854,0.0012712663451869474,0.0006356331725934737
9,"(0, 1, 2, 3, 4, 5, 6, 7, 9)",[0.87689001 0.87644273 0.87673669 0.88013015 0.87804878],0.8776496725124495,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_wiki')",0.001741497967580066,0.0013549445831870395,0.0006774722915935197
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.87900869 0.87884388 0.87888786 0.8780199  0.87480084],0.877912236052293,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0020495747540472276,0.0015946387894394845,0.0007973193947197422
