,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.87426407 0.90184159 0.90704427 0.90342364 0.90390897],0.8980965094336166,"('source_server',)",0.015468797841905756,0.012035250246906735,0.006017625123453368
2,"(2, 6)",[0.90322115 0.90203595 0.90545862 0.90236494 0.90012661],0.9026414517481379,"('source_server', 'event_page_close')",0.0022291575336826613,0.0017343602930131117,0.0008671801465065559
3,"(2, 6, 7)",[0.90413432 0.90351922 0.90363886 0.90680537 0.90397889],0.9044153346428832,"('source_server', 'event_page_close', 'event_problem')",0.001562320760245998,0.0012155386286424987,0.0006077693143212493
4,"(2, 5, 6, 7)",[0.90544495 0.90284103 0.90657114 0.90721501 0.90444662],0.9053037496414286,"('source_server', 'event_navigate', 'event_page_close', 'event_problem')",0.0019976891203463644,0.0015542700036947036,0.0007771350018473518
5,"(2, 5, 6, 7, 8)",[0.90130624 0.90500489 0.90772796 0.90793467 0.90492919],0.9053805915989519,"('source_server', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.0030942553345923085,0.002407435772336435,0.0012037178861682176
6,"(1, 2, 5, 6, 7, 8)",[0.90569581 0.90458416 0.90770901 0.90680575 0.90564537],0.9060880213713484,"('source_browser', 'source_server', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.0013788129739625693,0.001072763336551355,0.0005363816682756776
7,"(0, 1, 3, 5, 6, 7, 8)",[0.90588958 0.90667728 0.90862393 0.90801444 0.90420679],0.9066824051688682,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.002015990318959159,0.0015685089579673252,0.0007842544789836626
8,"(0, 1, 3, 5, 6, 7, 8, 9)",[0.90493085 0.90555515 0.90890007 0.90796128 0.90364414],0.9061982973551412,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002502290910796016,0.0019468673396458313,0.0009734336698229156
9,"(0, 1, 3, 4, 5, 6, 7, 8, 9)",[0.90286624 0.90480324 0.90947201 0.90632471 0.90454117],0.9056014759945029,"('course_id', 'source_browser', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0028594201887076867,0.00222472605071646,0.00111236302535823
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90529741 0.90311594 0.90801895 0.90470665 0.90399333],0.9050264572765577,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.00213900789365369,0.001664220810391005,0.0008321104051955025
