,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.91026319 0.91218449 0.91336363 0.91150474 0.91098959],0.9116611275435409,"('source_server',)",0.0013604781464705141,0.0010584982178681852,0.0005292491089340926
2,"(2, 4)",[0.91133074 0.91258297 0.91588917 0.91380895 0.91189287],0.9131009409740007,"('source_server', 'event_discussion')",0.0020833481804228833,0.0016209156625540417,0.000810457831277021
3,"(2, 4, 6)",[0.91192771 0.91319236 0.91568225 0.91345372 0.91269223],0.9133896536828331,"('source_server', 'event_discussion', 'event_page_close')",0.0016179083994328342,0.0012587877004246605,0.0006293938502123302
4,"(2, 4, 6, 9)",[0.91211469 0.91313559 0.91612721 0.9138778  0.91308507],0.9136680707216606,"('source_server', 'event_discussion', 'event_page_close', 'event_wiki')",0.001736594916780213,0.001351129843092003,0.0006755649215460015
5,"(2, 3, 4, 6, 9)",[0.91207743 0.91335358 0.91695832 0.91360729 0.91302653],0.9138046311826521,"('source_server', 'event_access', 'event_discussion', 'event_page_close', 'event_wiki')",0.0021334899888140113,0.001659927692964372,0.000829963846482186
6,"(2, 3, 4, 5, 6, 9)",[0.9118977  0.91326909 0.91718214 0.91388388 0.912911  ],0.9138287616527403,"('source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_wiki')",0.0023087159233846255,0.001796259423061223,0.0008981297115306115
7,"(0, 1, 2, 4, 5, 6, 9)",[0.91197345 0.91312789 0.91713215 0.91391805 0.91335459],0.91390122582836,"('course_id', 'source_browser', 'source_server', 'event_discussion', 'event_navigate', 'event_page_close', 'event_wiki')",0.002230070288615185,0.0017350704473599004,0.0008675352236799501
8,"(0, 1, 2, 4, 5, 6, 7, 9)",[0.91194857 0.91294217 0.91717043 0.91397469 0.91316209],0.9138395928803877,"('course_id', 'source_browser', 'source_server', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_wiki')",0.0022958231832145297,0.0017862284332001304,0.0008931142166000651
9,"(0, 1, 2, 3, 4, 5, 6, 7, 9)",[0.91159635 0.91279008 0.91696725 0.91347377 0.91240126],0.9134457446867513,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_wiki')",0.002393741683368803,0.0018624123529334344,0.0009312061764667171
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91159635 0.91279008 0.91696725 0.91347377 0.91236894],0.9134392810903995,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0023984538033379305,0.0018660785423556178,0.000933039271177809
