,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.9083081  0.91065181 0.91459919 0.90970046 0.9117928 ],0.9110104700557228,"('source_server',)",0.0027348936655389807,0.0021278401851159328,0.0010639200925579664
2,"(2, 7)",[0.90839276 0.91211814 0.91489738 0.91402651 0.91242595],0.9123721468706568,"('source_server', 'event_problem')",0.0028749535261916024,0.002236811514997474,0.001118405757498737
3,"(2, 4, 7)",[0.91219109 0.91235031 0.91809619 0.91324101 0.91230802],0.9136373243241049,"('source_server', 'event_discussion', 'event_problem')",0.002905646608396237,0.0022606917756975613,0.0011303458878487807
4,"(2, 4, 7, 8)",[0.91292933 0.91348911 0.91851218 0.9157974  0.91480875],0.915107351597786,"('source_server', 'event_discussion', 'event_problem', 'event_video')",0.002539591538715791,0.0019758884953923425,0.0009879442476961712
5,"(2, 4, 7, 8, 9)",[0.91201678 0.91538626 0.91850473 0.91485177 0.91445619],0.9150431449067493,"('source_server', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0026739186927658694,0.0020803995847782208,0.0010401997923891102
6,"(2, 4, 6, 7, 8, 9)",[0.91342301 0.91390822 0.91332357 0.91567899 0.91386412],0.9140395830525861,"('source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.001094921156054228,0.0008518858574805428,0.0004259429287402714
7,"(0, 2, 3, 4, 7, 8, 9)",[0.91316849 0.91461691 0.91835574 0.91442384 0.91450535],0.9150140645685445,"('course_id', 'source_server', 'event_access', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0022511170507682346,0.0017514455433426577,0.0008757227716713288
8,"(0, 1, 2, 3, 4, 7, 8, 9)",[0.91448135 0.91543538 0.91723891 0.915498   0.91379248],0.9152892224062894,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0014943836129558596,0.0011626812200025882,0.0005813406100012941
9,"(0, 1, 2, 3, 4, 6, 7, 8, 9)",[0.90524906 0.90897743 0.91340228 0.91502189 0.91399469],0.9113290693412838,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.004723768235172771,0.0036752521688969957,0.0018376260844484974
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91458178 0.91332646 0.91912947 0.91508184 0.91361774],0.9151474580378027,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0026860305093132073,0.0020898229895302653,0.0010449114947651327
