,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.91016761 0.91035971 0.91532736 0.91032942 0.91037021],0.9113108619544033,"('source_server',)",0.002582896080532044,0.002009580900123002,0.001004790450061501
2,"(0, 2)",[0.91005595 0.91032697 0.91532736 0.9102638  0.91074839],0.9113444935955484,"('course_id', 'source_server')",0.0025758599059952088,0.0020041065172913693,0.0010020532586456847
3,"(0, 2, 9)",[0.90862799 0.90797634 0.91140332 0.90728809 0.90783955],0.9086270569184032,"('course_id', 'source_server', 'event_wiki')",0.0018664682796613195,0.0014521757316384965,0.0007260878658192482
4,"(2, 4, 7, 9)",[0.9064592  0.90576276 0.90900525 0.907162   0.90501578],0.9066809975766604,"('source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.0017527941960800342,0.001363733432730024,0.000681866716365012
5,"(0, 2, 4, 7, 9)",[0.90597301 0.90617766 0.90830707 0.90815513 0.90519988],0.9067625508021981,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_wiki')",0.0015983357841056684,0.0012435595407540533,0.0006217797703770267
6,"(0, 2, 4, 7, 8, 9)",[0.90682329 0.90671791 0.90870812 0.90825954 0.90697421],0.9074966149382273,"('course_id', 'source_server', 'event_discussion', 'event_problem', 'event_video', 'event_wiki')",0.0010571409600687762,0.0008224915814864313,0.00041124579074321567
7,"(0, 2, 4, 6, 7, 8, 9)",[0.90857143 0.90703145 0.91057912 0.91043478 0.90816734],0.9089568228020406,"('course_id', 'source_server', 'event_discussion', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0017524400652058154,0.001363457906878892,0.000681728953439446
8,"(1, 2, 3, 5, 6, 7, 8, 9)",[0.91099174 0.91009532 0.9132618  0.91106212 0.91065491],0.9112131800444032,"('source_browser', 'source_server', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0013878749365803808,0.0010798138513326667,0.0005399069256663333
9,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90979344 0.90951042 0.9142568  0.91172005 0.91018311],0.9110927627671419,"('source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002257441575970062,0.0017563662388145871,0.0008781831194072936
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.90977986 0.90916315 0.91492359 0.91241377 0.9104839 ],0.9113528540262124,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0026899102171627377,0.0020928415340436264,0.0010464207670218134
